ds,y,count
2023-01-01,0,0
2023-01-02,0,0
2023-01-03,0,0
2023-01-04,0,0
2023-01-05,0,0
2023-01-06,0,0
2023-01-07,97900,17
2023-01-08,0,0
2023-01-09,471200,54
2023-01-10,425600,54
2023-01-11,560300,62
2023-01-12,436000,58
2023-01-13,390600,41
2023-01-14,198200,25
2023-01-15,0,0
2023-01-16,435500,45
2023-01-17,495500,56
2023-01-18,474300,54
2023-01-19,495800,60
2023-01-20,309800,39
2023-01-21,0,0
2023-01-22,0,0
2023-01-23,0,0
2023-01-24,59800,11
2023-01-25,450700,44
2023-01-26,316000,31
2023-01-27,374900,43
2023-01-28,185800,20
2023-01-29,0,0
2023-01-30,499800,46
2023-01-31,537800,56
2023-02-01,374800,39
2023-02-02,582900,66
2023-02-03,588300,61
2023-02-04,168400,24
2023-02-05,0,0
2023-02-06,561605,51
2023-02-07,550300,67
2023-02-08,506600,48
2023-02-09,573520,63
2023-02-10,534290,54
2023-02-11,157700,24
2023-02-12,0,0
2023-02-13,588170,64
2023-02-14,332800,35
2023-02-15,429100,56
2023-02-16,539500,64
2023-02-17,552800,65
2023-02-18,193000,24
2023-02-19,0,0
2023-02-20,516300,49
2023-02-21,385500,38
2023-02-22,371920,48
2023-02-23,437200,59
2023-02-24,388500,49
2023-02-25,144600,17
2023-02-26,0,0
2023-02-27,447600,49
2023-02-28,557400,55
2023-03-01,54700,8
2023-03-02,353400,48
2023-03-03,508560,61
2023-03-04,183800,23
2023-03-05,0,0
2023-03-06,435400,49
2023-03-07,467800,60
2023-03-08,477600,49
2023-03-09,487800,60
2023-03-10,592200,65
2023-03-11,183500,31
2023-03-12,0,0
2023-03-13,352800,47
2023-03-14,457100,54
2023-03-15,570800,68
2023-03-16,414270,42
2023-03-17,568700,64
2023-03-18,137700,23
2023-03-19,0,0
2023-03-20,659315,65
2023-03-21,433400,55
2023-03-22,421010,49
2023-03-23,477100,59
2023-03-24,511450,58
2023-03-25,184100,31
2023-03-26,0,0
2023-03-27,557100,58
2023-03-28,425500,52
2023-03-29,539900,63
2023-03-30,548000,66
2023-03-31,522200,60
2023-04-01,109600,18
2023-04-02,0,0
2023-04-03,521200,58
2023-04-04,573600,65
2023-04-05,283900,35
2023-04-06,325200,41
2023-04-07,583700,60
2023-04-08,130900,25
2023-04-09,0,0
2023-04-10,586000,70
2023-04-11,368000,44
2023-04-12,515200,62
2023-04-13,594400,61
2023-04-14,526700,68
2023-04-15,0,0
2023-04-16,0,0
2023-04-17,660200,69
2023-04-18,441355,57
2023-04-19,757100,83
2023-04-20,510500,66
2023-04-21,452440,59
2023-04-22,142400,26
2023-04-23,0,0
2023-04-24,580200,65
2023-04-25,389900,59
2023-04-26,450900,58
2023-04-27,575900,84
2023-04-28,504600,61
2023-04-29,144900,23
2023-04-30,0,0
2023-05-01,0,0
2023-05-02,577500,63
2023-05-03,701700,74
2023-05-04,538760,62
2023-05-05,0,0
2023-05-06,62300,9
2023-05-07,0,0
2023-05-08,569725,70
2023-05-09,556800,67
2023-05-10,379000,51
2023-05-11,527300,66
2023-05-12,520600,69
2023-05-13,88500,13
2023-05-14,0,0
2023-05-15,417900,57
2023-05-16,590600,82
2023-05-17,566200,66
2023-05-18,517800,68
2023-05-19,473200,62
2023-05-20,119200,18
2023-05-21,0,0
2023-05-22,510900,61
2023-05-23,522700,68
2023-05-24,559300,68
2023-05-25,511800,69
2023-05-26,375000,50
2023-05-27,0,0
2023-05-28,0,0
2023-05-29,124900,19
2023-05-30,408900,53
2023-05-31,451200,53
2023-06-01,456900,66
2023-06-02,417700,50
2023-06-03,180000,27
2023-06-04,0,0
2023-06-05,329780,48
2023-06-06,0,0
2023-06-07,378500,43
2023-06-08,492200,60
2023-06-09,470200,60
2023-06-10,98800,15
2023-06-11,0,0
2023-06-12,512100,70
2023-06-13,425400,56
2023-06-14,487600,65
2023-06-15,514360,67
2023-06-16,659800,69
2023-06-17,78300,14
2023-06-18,0,0
2023-06-19,452900,58
2023-06-20,406200,42
2023-06-21,411800,45
2023-06-22,696400,83
2023-06-23,533300,65
2023-06-24,173700,29
2023-06-25,0,0
2023-06-26,469100,50
2023-06-27,451200,60
2023-06-28,635700,71
2023-06-29,352000,50
2023-06-30,485300,66
2023-07-01,97600,14
2023-07-02,0,0
2023-07-03,494202,62
2023-07-04,441800,55
2023-07-05,718000,65
2023-07-06,503400,67
2023-07-07,429400,55
2023-07-08,136600,20
2023-07-09,0,0
2023-07-10,476100,74
2023-07-11,412100,52
2023-07-12,526400,57
2023-07-13,388900,42
2023-07-14,374100,37
2023-07-15,0,0
2023-07-16,0,0
2023-07-17,495600,66
2023-07-18,315300,41
2023-07-19,593165,77
2023-07-20,557200,69
2023-07-21,508100,64
2023-07-22,138600,18
2023-07-23,0,0
2023-07-24,612200,68
2023-07-25,599100,64
2023-07-26,466900,62
2023-07-27,531900,69
2023-07-28,434000,52
2023-07-29,0,0
2023-07-30,0,0
2023-07-31,466100,56
2023-08-01,400900,47
2023-08-02,586700,55
2023-08-03,499000,57
2023-08-04,399400,53
2023-08-05,0,0
2023-08-06,0,0
2023-08-07,540000,63
2023-08-08,670500,79
2023-08-09,559700,60
2023-08-10,310300,38
2023-08-11,427100,49
2023-08-12,0,0
2023-08-13,0,0
2023-08-14,273900,26
2023-08-15,0,0
2023-08-16,537600,71
2023-08-17,531800,63
2023-08-18,396600,58
2023-08-19,0,0
2023-08-20,0,0
2023-08-21,342500,50
2023-08-22,435900,57
2023-08-23,400900,41
2023-08-24,481400,56
2023-08-25,363700,45
2023-08-26,0,0
2023-08-27,0,0
2023-08-28,522000,51
2023-08-29,411470,49
2023-08-30,505800,60
2023-08-31,521640,56
2023-09-01,503900,64
2023-09-02,0,0
2023-09-03,0,0
2023-09-04,572800,57
2023-09-05,623000,61
2023-09-06,482500,55
2023-09-07,600100,62
2023-09-08,376700,44
2023-09-09,0,0
2023-09-10,0,0
2023-09-11,535700,71
2023-09-12,510700,58
2023-09-13,380200,50
2023-09-14,464700,58
2023-09-15,310100,42
2023-09-16,0,0
2023-09-17,0,0
2023-09-18,568200,62
2023-09-19,394700,51
2023-09-20,342000,48
2023-09-21,473900,58
2023-09-22,436500,53
2023-09-23,0,0
2023-09-24,0,0
2023-09-25,610375,55
2023-09-26,381500,44
2023-09-27,361160,47
2023-09-28,0,0
2023-09-29,0,0
2023-09-30,0,0
2023-10-01,0,0
2023-10-02,0,0
2023-10-03,0,0
2023-10-04,448445,45
2023-10-05,491200,66
2023-10-06,485600,54
2023-10-07,0,0
2023-10-08,0,0
2023-10-09,0,0
2023-10-10,544600,58
2023-10-11,510900,69
2023-10-12,597900,72
2023-10-13,472100,62
2023-10-14,0,0
2023-10-15,0,0
2023-10-16,479600,51
2023-10-17,455800,57
2023-10-18,505600,60
2023-10-19,521000,50
2023-10-20,402000,48
2023-10-21,0,0
2023-10-22,0,0
2023-10-23,551600,70
2023-10-24,432300,52
2023-10-25,481990,60
2023-10-26,542700,64
2023-10-27,365800,49
2023-10-28,0,0
2023-10-29,0,0
2023-10-30,555900,60
2023-10-31,512300,65
2023-11-01,540600,57
2023-11-02,546600,66
2023-11-03,436800,54
2023-11-04,0,0
2023-11-05,0,0
2023-11-06,439400,47
2023-11-07,414300,46
2023-11-08,543400,56
2023-11-09,601000,64
2023-11-10,356500,48
2023-11-11,0,0
2023-11-12,0,0
2023-11-13,385900,44
2023-11-14,391600,47
2023-11-15,499800,49
2023-11-16,258100,35
2023-11-17,278900,37
2023-11-18,0,0
2023-11-19,0,0
2023-11-20,589000,58
2023-11-21,331600,39
2023-11-22,439200,44
2023-11-23,0,0
2023-11-24,432500,48
2023-11-25,0,0
2023-11-26,0,0
2023-11-27,376400,33
2023-11-28,357000,50
2023-11-29,456800,39
2023-11-30,518900,54
