2023-08 ¸ÅÃâ (Å°¿À½ºÅ©),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Date,Count,Sum,0.0,1,2,3,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
2023-08-01,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-02,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-03,36,237200,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16800.0,79700.0,35300.0,40200.0,47100.0,12100.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-04,42,227000,0.0,0,0,0,0.0,0.0,0.0,0.0,11000.0,14600.0,8000.0,3000.0,71800.0,38700.0,23000.0,31900.0,15000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-05,43,282000,0.0,0,0,0,0.0,0.0,0.0,0.0,26500.0,42200.0,46400.0,54100.0,25700.0,38900.0,27700.0,20500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-06,24,157700,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5500.0,15800.0,23000.0,9600.0,39000.0,33500.0,5000.0,26300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-07,46,312100,0.0,0,0,0,0.0,0.0,0.0,4000.0,20100.0,18200.0,21100.0,11100.0,60600.0,60400.0,48200.0,25200.0,9000.0,34200.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-08,48,297300,0.0,0,0,0,0.0,0.0,0.0,11000.0,23100.0,23700.0,35000.0,42600.0,52800.0,24600.0,12500.0,36100.0,3000.0,32900.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-09,42,237400,0.0,0,0,0,0.0,0.0,0.0,0.0,7000.0,20100.0,31000.0,36000.0,34500.0,34300.0,17000.0,29200.0,5500.0,22800.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10,25,169200,0.0,0,0,0,0.0,0.0,0.0,7500.0,6000.0,18000.0,12900.0,4000.0,36500.0,45700.0,16000.0,6500.0,11000.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-11,48,329200,0.0,0,0,0,0.0,0.0,0.0,3000.0,37000.0,17100.0,20600.0,34800.0,44900.0,42200.0,67800.0,37400.0,21400.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-12,39,268100,0.0,0,0,0,0.0,0.0,0.0,0.0,48600.0,23000.0,72600.0,21300.0,6000.0,75100.0,7000.0,14500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-13,32,277000,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,4000.0,62900.0,15300.0,39200.0,45100.0,60200.0,23700.0,26600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-14,50,323600,0.0,0,0,0,0.0,0.0,0.0,0.0,43800.0,22200.0,17800.0,39200.0,8100.0,36100.0,64100.0,34800.0,44500.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-15,33,255700,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,7000.0,29300.0,28200.0,3000.0,39000.0,80900.0,43000.0,25300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-16,36,247200,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,62300.0,67500.0,59200.0,23200.0,11500.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-17,66,403700,0.0,0,0,0,0.0,0.0,0.0,16100.0,6300.0,28200.0,26700.0,56400.0,63700.0,58900.0,59400.0,45700.0,14000.0,28300.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-18,48,309300,0.0,0,0,0,0.0,0.0,0.0,0.0,8100.0,36700.0,56000.0,24600.0,86400.0,30000.0,24200.0,18100.0,3000.0,22200.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-19,58,328600,0.0,0,0,0,0.0,0.0,0.0,0.0,28000.0,27100.0,52700.0,65400.0,30500.0,28100.0,33100.0,15100.0,35500.0,13100.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-20,35,271500,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,8500.0,41700.0,18100.0,41000.0,37500.0,60600.0,39600.0,18500.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-21,53,340400,0.0,0,0,0,0.0,0.0,0.0,0.0,21500.0,8100.0,15100.0,16200.0,41100.0,78700.0,31900.0,51300.0,54000.0,22500.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-22,59,381200,0.0,0,0,0,0.0,0.0,0.0,6000.0,28300.0,78700.0,30500.0,68600.0,79000.0,43100.0,20500.0,20500.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-23,36,258700,0.0,0,0,0,0.0,0.0,0.0,3000.0,3000.0,42600.0,32200.0,22400.0,72300.0,22500.0,14000.0,31900.0,11800.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-24,46,294100,0.0,0,0,0,0.0,0.0,0.0,0.0,32100.0,19000.0,63800.0,11100.0,33400.0,58700.0,35200.0,8000.0,32800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-25,44,232200,0.0,0,0,0,0.0,0.0,0.0,11000.0,13500.0,29200.0,8100.0,25100.0,37400.0,23000.0,27500.0,30600.0,15800.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26,52,410326,0.0,0,0,0,0.0,0.0,0.0,0.0,72500.0,30526.0,39200.0,49000.0,91100.0,71400.0,18800.0,34800.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-27,28,179000,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18800.0,48300.0,34600.0,25000.0,15300.0,4000.0,30000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-28,39,239800,0.0,0,0,0,0.0,0.0,0.0,0.0,3000.0,21000.0,18300.0,23600.0,60200.0,54800.0,31600.0,16300.0,7000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-29,29,168700,0.0,0,0,0,0.0,0.0,0.0,3000.0,5100.0,18700.0,15600.0,13800.0,24000.0,46200.0,17100.0,12100.0,5000.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-30,43,319300,0.0,0,0,0,0.0,0.0,0.0,12000.0,33400.0,9100.0,12000.0,13200.0,110000.0,44000.0,38500.0,39000.0,3000.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-31,44,322600,0.0,0,0,0,0.0,0.0,0.0,0.0,6000.0,16200.0,18800.0,43500.0,112100.0,32500.0,4000.0,35200.0,49200.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,1224,8080126,0.0,0,0,0,0.0,0.0,0.0,76600.0,483900.0,589226.0,840900.0,828700.0,1451500.0,1276300.0,989000.0,780300.0,496800.0,266900.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
¸ÅÃâÇÕ°è³»¿ª,,,,°áÁ¦¼ö´Üº°,,,,,,,,,,,,,,,,,,,,,,
ÃÑÇÕ°è,"1,224","8,119,500",,Ä«µå,"1,037","6,949,826",,,,,,,,,,,,,,,,,,,,
Æ÷ÀÎÆ®»ç¿ë,7,"39,374",,»ï¼ºÆäÀÌ,175,"1,095,500",,,,,,,,,,,,,,,,,,,,
ÇÒÀÎ, , ,,°£Æí°áÁ¦,7,"34,800",,,,,,,,,,,,,,,,,,,,
ÃÑ¸ÅÃâ, ,"8,080,126",,Çö±Ý, , ,,,,,,,,,,,,,,,,,,,,
,,,,¹«·á, , ,,,,,,,,,,,,,,,,,,,,
