2023-09 매출 (키오스크),,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-09-01,47,"417,400",0,0,0,0,0,0,0,"11,000","23,500","25,100","5,100","4,200","50,000","59,500","66,400","20,500","41,700","110,400",0,0,0,0,0,0
2023-09-02,57,"320,300",0,0,0,0,0,0,0,0,"14,100","48,400","67,700","35,400","38,300","54,600","39,400","11,000","5,100","6,300",0,0,0,0,0,0
2023-09-03,39,"324,500",0,0,0,0,0,0,0,0,0,"24,000","24,200","11,700","39,700","132,200","22,700","51,500","14,500","4,000",0,0,0,0,0,0
2023-09-04,45,"409,700",0,0,0,0,0,0,0,"10,200","20,000","15,300","32,300","3,000","148,300","39,300","47,400","77,800","16,100",0,0,0,0,0,0,0
2023-09-05,52,"347,100",0,0,0,0,0,0,0,"11,000","12,100","48,100","13,100","18,500","71,400","81,800","13,500","53,600","13,000","11,000",0,0,0,0,0,0
2023-09-06,37,"270,400",0,0,0,0,0,0,0,0,"6,000","61,500","17,800","18,600","64,900","47,000","33,600","3,000","18,000",0,0,0,0,0,0,0
2023-09-07,46,"266,800",0,0,0,0,0,0,0,0,"15,300","14,000","37,700","10,000","64,200","46,700","33,800","29,600","15,500",0,0,0,0,0,0,0
2023-09-08,55,"320,700",0,0,0,0,0,0,0,"15,000","36,200","12,100","29,500","35,000","43,200","63,200","34,200","24,300","25,000","3,000",0,0,0,0,0,0
2023-09-09,48,"276,400",0,0,0,0,0,0,0,0,"19,200","15,000","42,600","31,600","39,600","24,100","41,600","19,100","35,600","8,000",0,0,0,0,0,0
2023-09-10,31,"205,100",0,0,0,0,0,0,0,0,0,0,"30,400","38,000","25,000","50,900","27,500","23,300","10,000",0,0,0,0,0,0,0
2023-09-11,39,"274,400",0,0,0,0,0,0,0,0,"25,100","23,200","48,600","10,000","22,300","48,300","44,600","23,000","24,200","5,100",0,0,0,0,0,0
2023-09-12,43,"246,900",0,0,0,0,0,0,0,0,"23,500","16,000","14,100","4,000","76,900","44,900","23,500","26,500","8,500","9,000",0,0,0,0,0,0
2023-09-13,50,"317,700",0,0,0,0,0,0,0,"11,000","6,000","18,000","48,000","50,000","78,500","37,300","15,000","41,600","8,300","4,000",0,0,0,0,0,0
2023-09-14,47,"296,000",0,0,0,0,0,0,0,0,"14,100","6,000","58,600","39,500","64,800","50,000","39,800","23,200",0,0,0,0,0,0,0,0
2023-09-15,44,"329,300",0,0,0,0,0,0,0,"15,000","25,700","20,000","45,400","7,800","56,100","92,200","41,500","15,000","10,600",0,0,0,0,0,0,0
2023-09-16,52,"318,000",0,0,0,0,0,0,0,0,"18,100","42,200","17,400","52,100","56,300","20,100","48,600","16,100","37,100","10,000",0,0,0,0,0,0
2023-09-17,40,"293,100",0,0,0,0,0,0,0,0,0,"5,100","63,000","32,100","58,100","36,100","37,100","45,600","16,000",0,0,0,0,0,0,0
2023-09-18,35,"201,600",0,0,0,0,0,0,0,"5,100","20,200","15,100","21,300","19,500","30,200","9,000","41,200","27,000","13,000",0,0,0,0,0,0,0
2023-09-19,57,"333,200",0,0,0,0,0,0,0,"3,000","34,100","52,400","29,000","14,400","17,900","89,000","35,000","29,000","21,300","8,100",0,0,0,0,0,0
2023-09-20,27,"222,500",0,0,0,0,0,0,0,0,"8,000","17,100","12,100","10,200","90,100","31,600","5,000","26,100","22,300",0,0,0,0,0,0,0
2023-09-21,43,"326,500",0,0,0,0,0,0,0,0,"18,000","21,200","16,000","38,800","42,100","63,300","35,600","78,500","13,000",0,0,0,0,0,0,0
2023-09-22,31,"168,700",0,0,0,0,0,0,0,0,"21,000","18,500","13,000","21,100","14,200","7,800","42,900","27,200","3,000",0,0,0,0,0,0,0
2023-09-23,58,"362,034",0,0,0,0,0,0,0,0,"27,100","18,100","80,600","47,200","59,934","18,000","47,100","28,800","27,200","8,000",0,0,0,0,0,0
2023-09-24,27,"197,900",0,0,0,0,0,0,0,0,0,0,"24,400","12,500","42,700","55,400","33,200","16,100","13,600",0,0,0,0,0,0,0
2023-09-25,50,"297,900",0,0,0,0,0,0,0,0,"7,500","42,000","26,200","29,100","46,300","50,800","29,700","55,300","7,000","4,000",0,0,0,0,0,0
2023-09-26,31,"192,000",0,0,0,0,0,0,0,0,"11,300","24,200","15,000","3,500","32,400","15,000","61,200","11,000",0,"18,400",0,0,0,0,0,0
2023-09-27,60,"368,900",0,0,0,0,0,0,0,"9,000","5,300","43,300","51,800","59,300","23,700","71,500","46,600","40,300","18,100",0,0,0,0,0,0,0
2023-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-30,19,"175,600",0,0,0,0,0,0,0,0,0,0,0,0,"26,000","12,000","65,100","66,500","6,000",0,0,0,0,0,0,0
Total,"1,210","8,080,634",0,0,0,0,0,0,0,"90,300","411,400","645,900","884,900","657,100","1,423,134","1,351,600","1,052,800","910,500","443,700","209,300",0,0,0,0,0,0
