ds,y,count
2023-01-01,0,0
2023-01-02,0,0
2023-01-03,0,0
2023-01-04,0,0
2023-01-05,0,0
2023-01-06,0,0
2023-01-07,"412,300",65
2023-01-08,330600,47
2023-01-09,231900,40
2023-01-10,260300,41
2023-01-11,273900,40
2023-01-12,210300,41
2023-01-13,280800,51
2023-01-14,388900,59
2023-01-15,302700,46
2023-01-16,314500,43
2023-01-17,148400,30
2023-01-18,266800,43
2023-01-19,261800,44
2023-01-20,294700,50
2023-01-21,290000,43
2023-01-22,0,0
2023-01-23,0,0
2023-01-24,272300,38
2023-01-25,226100,38
2023-01-26,146100,21
2023-01-27,167500,28
2023-01-28,389800,54
2023-01-29,280000,40
2023-01-30,276000,46
2023-01-31,183200,34
2023-02-01,261800,42
2023-02-02,206000,32
2023-02-03,419700,60
2023-02-04,381800,56
2023-02-05,286800,49
2023-02-06,280500,44
2023-02-07,254000,34
2023-02-08,202500,31
2023-02-09,194600,34
2023-02-10,306400,51
2023-02-11,350800,56
2023-02-12,286400,45
2023-02-13,308200,50
2023-02-14,290500,51
2023-02-15,416700,53
2023-02-16,277700,50
2023-02-17,237200,43
2023-02-18,370100,61
2023-02-19,252300,43
2023-02-20,273000,42
2023-02-21,265200,44
2023-02-22,250300,33
2023-02-23,239100,46
2023-02-24,281500,45
2023-02-25,254500,42
2023-02-26,414800,56
2023-02-27,240600,40
2023-02-28,288500,47
2023-03-01,237000,35
2023-03-02,274100,40
2023-03-03,251600,42
2023-03-04,432000,61
2023-03-05,296400,46
2023-03-06,255500,41
2023-03-07,274200,42
2023-03-08,385400,50
2023-03-09,236000,37
2023-03-10,358400,49
2023-03-11,324500,51
2023-03-12,222800,34
2023-03-13,221000,39
2023-03-14,257800,38
2023-03-15,368700,50
2023-03-16,223800,35
2023-03-17,227500,32
2023-03-18,317300,52
2023-03-19,466539,54
2023-03-20,303200,47
2023-03-21,318500,48
2023-03-22,544900,72
2023-03-23,304100,45
2023-03-24,304900,49
2023-03-25,369900,59
2023-03-26,337700,48
2023-03-27,300300,53
2023-03-28,276000,49
2023-03-29,348300,48
2023-03-30,401900,49
2023-03-31,219200,34
2023-04-01,561100,90
2023-04-02,428600,52
2023-04-03,322600,47
2023-04-04,258500,47
2023-04-05,217200,33
2023-04-06,203400,35
2023-04-07,332700,44
2023-04-08,421200,62
2023-04-09,238000,39
2023-04-10,358300,53
2023-04-11,272700,44
2023-04-12,449900,54
2023-04-13,238000,43
2023-04-14,372100,59
2023-04-15,355400,51
2023-04-16,295400,45
2023-04-17,278600,48
2023-04-18,301700,50
2023-04-19,370300,52
2023-04-20,251300,40
2023-04-21,404700,61
2023-04-22,433100,70
2023-04-23,415000,53
2023-04-24,363500,66
2023-04-25,292700,42
2023-04-26,267400,36
2023-04-27,226700,30
2023-04-28,307200,49
2023-04-29,291000,47
2023-04-30,214500,30
2023-05-01,421100,66
2023-05-02,344000,52
2023-05-03,290700,51
2023-05-04,319000,43
2023-05-05,190600,33
2023-05-06,215100,38
2023-05-07,234100,33
2023-05-08,291700,45
2023-05-09,350900,44
2023-05-10,283000,47
2023-05-11,291400,44
2023-05-12,352200,48
2023-05-13,320600,63
2023-05-14,397300,54
2023-05-15,354300,54
2023-05-16,309700,50
2023-05-17,323700,51
2023-05-18,283000,37
2023-05-19,327100,40
2023-05-20,381800,60
2023-05-21,234500,38
2023-05-22,166900,31
2023-05-23,357900,63
2023-05-24,205700,37
2023-05-25,334300,46
2023-05-26,284900,44
2023-05-27,230000,36
2023-05-28,83500,15
2023-05-29,296800,46
2023-05-30,246200,46
2023-05-31,278400,37
2023-06-01,225700,39
2023-06-02,299300,42
2023-06-03,258100,47
2023-06-04,254000,36
2023-06-05,316400,54
2023-06-06,139500,23
2023-06-07,284100,41
2023-06-08,176000,30
2023-06-09,339344,45
2023-06-10,325500,57
2023-06-11,320300,42
2023-06-12,213700,34
2023-06-13,299700,43
2023-06-14,253100,32
2023-06-15,234400,39
2023-06-16,284700,39
2023-06-17,327300,47
2023-06-18,286500,39
2023-06-19,312100,50
2023-06-20,298900,51
2023-06-21,213400,32
2023-06-22,380200,50
2023-06-23,227200,41
2023-06-24,386500,54
2023-06-25,306400,41
2023-06-26,264700,40
2023-06-27,333700,48
2023-06-28,237500,36
2023-06-29,224000,33
2023-06-30,285300,50
2023-07-01,270900,46
2023-07-02,215500,33
2023-07-03,281500,47
2023-07-04,345400,44
2023-07-05,248600,35
2023-07-06,300200,45
2023-07-07,286713,48
2023-07-08,310400,48
2023-07-09,172700,30
2023-07-10,338400,50
2023-07-11,184900,25
2023-07-12,257100,47
2023-07-13,246300,36
2023-07-14,190800,32
2023-07-15,306400,54
2023-07-16,331200,43
2023-07-17,299800,47
2023-07-18,359400,46
2023-07-19,303600,53
2023-07-20,287200,48
2023-07-21,371300,54
2023-07-22,339600,56
2023-07-23,195500,31
2023-07-24,315300,36
2023-07-25,325300,50
2023-07-26,293500,49
2023-07-27,264600,41
2023-07-28,283600,47
2023-07-29,355300,52
2023-07-30,160400,23
2023-07-31,0,0
2023-08-01,0,0
2023-08-02,0,0
2023-08-03,237200,36
2023-08-04,227000,42
2023-08-05,282000,43
2023-08-06,157700,24
2023-08-07,312100,46
2023-08-08,297300,48
2023-08-09,237400,42
2023-08-10,169200,25
2023-08-11,329200,48
2023-08-12,268100,39
2023-08-13,277000,32
2023-08-14,323600,50
2023-08-15,255700,33
2023-08-16,247200,36
2023-08-17,403700,66
2023-08-18,309300,48
2023-08-19,328600,58
2023-08-20,271500,35
2023-08-21,340400,53
2023-08-22,381200,59
2023-08-23,258700,36
2023-08-24,294100,46
2023-08-25,232200,44
2023-08-26,410326,52
2023-08-27,179000,28
2023-08-28,239800,39
2023-08-29,168700,29
2023-08-30,319300,43
2023-08-31,322600,44
2023-09-01,417400,47
2023-09-02,320300,57
2023-09-03,324500,39
2023-09-04,409700,45
2023-09-05,347100,52
2023-09-06,270400,37
2023-09-07,266800,46
2023-09-08,320700,55
2023-09-09,276400,48
2023-09-10,205100,31
2023-09-11,274400,39
2023-09-12,246900,43
2023-09-13,317700,50
2023-09-14,296000,47
2023-09-15,329300,44
2023-09-16,318000,52
2023-09-17,293100,40
2023-09-18,201600,35
2023-09-19,333200,57
2023-09-20,222500,27
2023-09-21,326500,43
2023-09-22,168700,31
2023-09-23,362034,58
2023-09-24,197900,27
2023-09-25,297900,50
2023-09-26,192000,31
2023-09-27,368900,60
2023-09-28,0,0
2023-09-29,0,0
2023-09-30,175600,19
2023-10-01,214000,34
2023-10-02,279900,44
2023-10-03,263900,39
2023-10-04,213400,37
2023-10-05,316600,47
2023-10-06,404100,63
2023-10-07,359900,57
2023-10-08,240100,37
2023-10-09,170300,31
2023-10-10,291700,47
2023-10-11,308300,49
2023-10-12,263100,45
2023-10-13,217770,41
2023-10-14,234000,44
2023-10-15,234331,37
2023-10-16,293400,40
2023-10-17,243300,34
2023-10-18,198500,31
2023-10-19,156300,27
2023-10-20,224700,41
2023-10-21,248600,38
2023-10-22,252300,36
2023-10-23,224073,35
2023-10-24,255200,39
2023-10-25,250100,40
2023-10-26,171000,34
2023-10-27,305200,47
2023-10-28,380500,58
2023-10-29,213500,31
2023-10-30,226790,42
2023-10-31,255900,40
2023-11-01,205400,35
2023-11-02,265100,44
2023-11-03,215800,39
2023-11-04,287900,46
2023-11-05,134000,18
2023-11-06,274640,38
2023-11-07,273700,35
2023-11-08,246949,41
2023-11-09,209600,36
