ds,y,count,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,"872,800",114,,,,,,,,,,,,,,,,,,,,,,,
2023-12-02,"794,500",94,,,,,,,,,,,,,,,,,,,,,,,
2023-12-03,"392,000",45,,,,,,,,,,,,,,,,,,,,,,,
2023-12-04,"757,600",108,,,,,,,,,,,,,,,,,,,,,,,
2023-12-05,"912,440",118,,,,,,,,,,,,,,,,,,,,,,,
2023-12-06,"842,100",108,,,,,,,,,,,,,,,,,,,,,,,
2023-12-07,"904,630",114,,,,,,,,,,,,,,,,,,,,,,,
2023-12-08,"864,200",98,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09,"829,000",94,,,,,,,,,,,,,,,,,,,,,,,
2023-12-10,"281,200",35,,,,,,,,,,,,,,,,,,,,,,,
2023-12-11,"615,100",84,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12,"780,765",105,,,,,,,,,,,,,,,,,,,,,,,
2023-12-13,"870,400",121,,,,,,,,,,,,,,,,,,,,,,,
2023-12-14,"745,700",97,,,,,,,,,,,,,,,,,,,,,,,
2023-12-15,"835,000",111,,,,,,,,,,,,,,,,,,,,,,,
2023-12-16,"726,000",79,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
