2023-04 ¸ÅÃâ (Å°¿À½ºÅ©),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Date,Count,Sum,0.0,1,2,3,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
2023-04-01,89,477900,0.0,0,0,0,0.0,0.0,0.0,0.0,18800.0,94800.0,43800.0,17300.0,58100.0,76300.0,64600.0,11700.0,15700.0,12200.0,20400.0,27900.0,0.0,16300.0,0.0,0.0
2023-04-02,29,185100,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24400.0,45700.0,55100.0,20400.0,11200.0,28300.0,0.0,0.0,0.0,0.0,0.0
2023-04-03,115,753000,0.0,0,0,0,0.0,0.0,0.0,13200.0,42100.0,41500.0,48100.0,33600.0,260300.0,133700.0,38200.0,11400.0,17700.0,9400.0,59900.0,7900.0,20700.0,15300.0,0.0,0.0
2023-04-04,146,978100,0.0,0,0,0,0.0,0.0,0.0,6600.0,68000.0,45000.0,45700.0,32900.0,262700.0,182000.0,46400.0,27300.0,27700.0,22100.0,61200.0,91300.0,49000.0,10200.0,0.0,0.0
2023-04-05,87,606500,0.0,0,0,0,0.0,0.0,0.0,31200.0,40700.0,35900.0,33000.0,10400.0,125500.0,77300.0,37600.0,44000.0,22400.0,7900.0,32400.0,0.0,93000.0,15200.0,0.0,0.0
2023-04-06,93,714300,0.0,0,0,0,0.0,0.0,0.0,18300.0,44500.0,60200.0,14500.0,3800.0,173100.0,145600.0,45900.0,5600.0,41000.0,0.0,19600.0,43000.0,78800.0,20400.0,0.0,0.0
2023-04-07,166,1228400,0.0,0,0,0,0.0,0.0,0.0,26200.0,36600.0,67700.0,21400.0,13200.0,411300.0,246200.0,84000.0,37100.0,42000.0,9900.0,26500.0,104100.0,74700.0,27500.0,0.0,0.0
2023-04-08,95,666100,0.0,0,0,0,0.0,0.0,0.0,0.0,9000.0,65600.0,50100.0,27200.0,41900.0,111700.0,38800.0,100400.0,44000.0,19100.0,20900.0,44300.0,78700.0,14400.0,0.0,0.0
2023-04-09,42,269000,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83200.0,57000.0,86000.0,30800.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
