2023-10 매출 (키오스크),,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-10-01,27,"219,100",0,0,0,0,0,0,0,0,0,0,0,0,"14,700","26,100","87,100","45,300","43,100","2,800",0,0,0,0,0,0
2023-10-02,58,"451,900",0,0,0,0,0,0,0,0,0,"14,800","2,800","41,700","29,800","83,700","64,900","39,100","24,700","19,100","13,000","58,600","28,700","31,000",0,0
2023-10-03,44,"306,300",0,0,0,0,0,0,0,0,0,"38,700","18,600","18,800","23,000","55,100","14,500","18,900","11,400","51,700","45,700","9,900",0,0,0,0
2023-10-04,92,"697,700",0,0,0,0,0,0,0,"14,000","55,000","103,000","23,300","13,200","115,600","109,400","91,000","27,900","4,000","19,500","37,500","49,400","34,900",0,0,0
2023-10-05,111,"703,500",0,0,0,0,0,0,0,"32,800","30,500","14,800","33,000","5,100","123,700","114,900","79,100","45,700","15,100","27,300","55,400","15,200","87,400","23,500",0,0
2023-10-06,115,"912,020",0,0,0,0,0,0,0,"60,700","74,400","41,600","30,700","41,700","195,500","179,320","40,000","38,200","16,400","16,300","33,900","56,000","71,300","16,000",0,0
2023-10-07,61,"422,200",0,0,0,0,0,0,0,0,0,"43,600","53,000","26,100","41,600","72,800","48,600","62,000","10,800","31,800","27,900","4,000",0,0,0,0
2023-10-08,41,"324,000",0,0,0,0,0,0,0,0,0,0,0,0,"6,800","64,500","27,000","79,600","43,500","30,900","40,500","17,000","14,200",0,0,0
2023-10-09,56,"425,800",0,0,0,0,0,0,0,0,0,"16,200","13,600","9,600","28,600","105,900","65,200","78,000","26,500","8,600","10,200","50,600","12,800",0,0,0
2023-10-10,102,"761,500",0,0,0,0,0,0,0,"5,600","35,100","37,000","18,300","8,000","204,300","189,200","54,800","54,600","13,500","39,400","43,600","27,600","15,500","15,000",0,0
2023-10-11,133,"906,900",0,0,0,0,0,0,0,"26,000","57,900","47,900","41,700","28,000","203,000","138,000","64,000","28,000","47,200","59,100","17,400","60,400","57,200","31,100",0,0
2023-10-12,127,"863,100",0,0,0,0,0,0,0,"47,700","48,300","38,900","35,700","6,800","219,600","121,800","30,100","20,300","37,200","63,600","31,200","83,300","43,500","35,100",0,0
2023-10-13,134,"1,080,700",0,0,0,0,0,0,0,"22,100","81,200","30,400","87,100","24,200","250,100","177,400","96,400","58,500","56,600","33,600","25,600","50,400","75,100","12,000",0,0
2023-10-14,91,"702,600",0,0,0,0,0,0,0,0,0,"25,500","41,600","19,900","47,300","53,200","145,400","88,900","48,000","58,100","53,500","44,000","46,000","31,200",0,0
2023-10-15,51,"348,900",0,0,0,0,0,0,0,0,0,0,0,0,"5,600","79,800","68,500","59,700","78,200","7,200","49,900",0,0,0,0,0
2023-10-16,142,"999,220",0,0,0,0,0,0,0,"2,800","43,900","65,400","27,600","25,700","335,820","100,100","74,800","66,600","12,900","11,200","56,200","125,700","28,300","22,200",0,0
2023-10-17,128,"843,165",0,0,0,0,0,0,0,"28,500","42,700","55,200","41,465","26,400","207,800","138,300","18,700","51,900","25,100","26,500","33,900","53,900","65,000","27,800",0,0
2023-10-18,137,"996,200",0,0,0,0,0,0,0,"26,600","51,100","45,100","38,800","58,700","251,000","119,900","39,100","32,100","34,600","49,700","44,500","96,200","108,800",0,0,0
2023-10-19,89,"595,400",0,0,0,0,0,0,0,"9,600","29,500","40,700","6,400","13,500","132,200","136,400","44,700","19,800","19,600","29,000","27,300","86,700",0,0,0,0
2023-10-20,112,"762,700",0,0,0,0,0,0,0,"20,900","94,800","31,300","16,500","46,200","126,100","122,000","35,800","52,700","34,900","22,800","22,900","47,200","88,600",0,0,0
2023-10-21,117,"1,008,900",0,0,0,0,0,0,0,0,0,"63,600","44,100","80,700","58,000","232,500","118,000","65,300","60,100","37,100","59,000","59,300","106,600","24,600",0,0
2023-10-22,54,"382,700",0,0,0,0,0,0,0,0,0,0,0,0,"54,300","103,300","80,800","69,400","54,600","20,300",0,0,0,0,0,0
2023-10-23,139,"938,800",0,0,0,0,0,0,0,"21,200","69,500","54,400","35,400","26,600","240,300","136,100","27,100","34,200","32,100","24,200","103,500","98,500","35,700",0,0,0
2023-10-24,131,"838,875",0,0,0,0,0,0,0,"26,800","63,800","69,300","25,900","17,700","187,175","145,300","62,700","27,700","27,600","10,700","19,300","76,900","35,700","42,300",0,0
2023-10-25,121,"877,800",0,0,0,0,0,0,0,"38,900","55,600","12,700","22,800","12,800","254,400","140,800","39,000","45,500","16,800","15,600","4,400","87,700","39,100","91,700",0,0
2023-10-26,119,"811,300",0,0,0,0,0,0,0,"19,600","23,300","74,700","70,500","31,600","254,900","50,000","41,000","47,000","10,700","20,000","36,400","47,800","21,300","62,500",0,0
2023-10-27,125,"963,190",0,0,0,0,0,0,0,"27,300","48,500","34,300","11,000","37,600","187,400","158,990","36,800","54,800","23,300","61,700","71,300","95,000","89,200","26,000",0,0
2023-10-28,94,"692,200",0,0,0,0,0,0,0,0,0,"41,800","42,500","12,900","70,300","48,000","114,200","65,000","22,400","24,900","67,100","77,000","74,400","31,700",0,0
2023-10-29,48,"415,500",0,0,0,0,0,0,0,0,0,0,0,0,"55,000","159,600","69,500","53,200","65,800","12,400",0,0,0,0,0,0
2023-10-30,104,"655,900",0,0,0,0,0,0,0,"11,700","63,300","23,100","18,500","19,600","182,000","74,500","24,000","22,400","21,600","17,900","63,400","60,400","8,900","44,600",0,0
2023-10-31,114,"828,810",0,0,0,0,0,0,0,"9,600","66,110","18,800","10,800","37,300","305,100","97,800","50,800","69,800","23,300","5,600","32,800","62,200","38,800",0,0,0
Total,"3,017","21,736,880",0,0,0,0,0,0,0,"452,400","1,034,510","1,082,800","811,665","690,400","4,410,995","3,534,710","1,853,600","1,522,100","961,600","858,600","1,127,300","1,600,900","1,227,000","568,300",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
매출합계내역,,,,결제수단별,,,,,,,,,,,,,,,,,,,,,,
총합계,"3,017","21,881,900",,카드,"2,360","17,543,970",,,,,,,,,,,,,,,,,,,,
포인트사용,38,"145,020",,삼성페이,587,"3,805,010",,,,,,,,,,,,,,,,,,,,
할인, , ,,간편결제, , ,,,,,,,,,,,,,,,,,,,,
총매출, ,"21,736,880",,현금,58,"387,900",,,,,,,,,,,,,,,,,,,,
,,,,무료,12, ,,,,,,,,,,,,,,,,,,,,
