2023-11 매출 (키오스크),,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-11-01,171,"1,076,340",0,0,0,0,0,0,0,0,"139,300","170,800","25,500","43,200","455,440","115,200","48,100","33,600","45,200",0,0,0,0,0,0,0
2023-11-02,171,"1,076,834",0,0,0,0,0,0,0,0,"121,834","161,800","13,300","63,000","454,100","130,600","47,600","75,600","9,000",0,0,0,0,0,0,0
2023-11-03,139,"874,400",0,0,0,0,0,0,0,"7,500","131,600","138,900","29,100","35,900","407,900","94,900","18,800","9,800",0,0,0,0,0,0,0,0
2023-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-06,117,"729,200",0,0,0,0,0,0,0,0,"36,000","122,700","20,600","67,600","327,900","97,300","23,500","24,000","9,600",0,0,0,0,0,0,0
2023-11-07,164,"1,076,170",0,0,0,0,0,0,0,0,"89,300","188,600","18,300","40,200","410,700","224,670","21,300","44,000","39,100",0,0,0,0,0,0,0
2023-11-08,130,"969,454",0,0,0,0,0,0,0,"33,500","105,100","168,122","7,400","28,300","387,132","131,700","59,800","43,600","4,800",0,0,0,0,0,0,0
2023-11-09,143,"987,772",0,0,0,0,0,0,0,0,"81,800","93,200","33,300","40,400","489,472","163,900",0,"69,400","16,300",0,0,0,0,0,0,0
2023-11-10,117,"864,600",0,0,0,0,0,0,0,"2,500","97,800","97,800","26,400","54,300","338,100","154,900","38,600","23,600","30,600",0,0,0,0,0,0,0
2023-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-13,125,"733,300",0,0,0,0,0,0,0,0,"64,300","133,200","21,800","16,500","383,200","101,000","5,000","4,800","3,500",0,0,0,0,0,0,0
2023-11-14,140,"927,448",0,0,0,0,0,0,0,0,"99,400","153,300","44,400","71,500","318,200","174,100","24,800","35,748","6,000",0,0,0,0,0,0,0
2023-11-15,138,"846,400",0,0,0,0,0,0,0,0,"92,200","126,100","22,800","48,300","392,700","124,500","20,500","19,300",0,0,0,0,0,0,0,0
2023-11-16,89,"577,116",0,0,0,0,0,0,0,0,"45,000","143,616","9,000","23,100","217,300","68,000","20,500","35,600","15,000",0,0,0,0,0,0,0
2023-11-17,137,"930,056",0,0,0,0,0,0,0,0,"121,656","230,300","48,200","62,200","277,700","123,300","32,200","3,500","31,000",0,0,0,0,0,0,0
2023-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,121,"763,948",0,0,0,0,0,0,0,0,"102,900","105,000","21,800","26,400","330,000","107,148","49,700","13,500","7,500",0,0,0,0,0,0,0
2023-11-21,119,"820,312",0,0,0,0,0,0,0,0,"86,612","114,400","21,700","72,100","325,300","107,300","40,700","10,300","41,900",0,0,0,0,0,0,0
2023-11-22,130,"869,310",0,0,0,0,0,0,0,0,"146,600","92,100","11,300","51,400","331,100","106,900","63,100","51,610","15,200",0,0,0,0,0,0,0
2023-11-23,117,"769,712",0,0,0,0,0,0,0,0,"84,412","87,700","35,500","44,700","309,500","135,700","16,800","47,700","7,700",0,0,0,0,0,0,0
2023-11-24,127,"893,095",0,0,0,0,0,0,0,"9,000","126,900","174,615","19,300","67,200","317,780","82,500","34,400","51,900","9,500",0,0,0,0,0,0,0
2023-11-25,11,"75,300",0,0,0,0,0,0,0,0,0,0,0,"5,300","45,500","5,000",0,"12,700","6,800",0,0,0,0,0,0,0
2023-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-27,117,"735,024",0,0,0,0,0,0,0,"2,700","54,700","105,000","41,300","56,100","359,100","62,324","24,100","18,200","11,500",0,0,0,0,0,0,0
2023-11-28,133,"878,872",0,0,0,0,0,0,0,"5,400","94,500","104,900","58,400","7,500","344,400","174,572","39,300",0,"47,200","2,700",0,0,0,0,0,0
2023-11-29,130,"877,732",0,0,0,0,0,0,0,0,"86,100","152,632","49,800","66,000","299,600","107,300","41,900","57,300","17,100",0,0,0,0,0,0,0
2023-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,"2,786","18,352,395",0,0,0,0,0,0,0,"60,600","2,008,014","2,864,785","579,200","991,200","7,522,124","2,592,814","670,700","685,758","374,500","2,700",0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
매출합계내역,,,,결제수단별,,,,,,,,,,,,,,,,,,,,,,
총합계,"2,786","18,967,700",,카드,"2,020","13,782,323",,,,,,,,,,,,,,,,,,,,
포인트사용,136,"615,305",,삼성페이,654,"4,372,072",,,,,,,,,,,,,,,,,,,,
할인, , ,,간편결제, , ,,,,,,,,,,,,,,,,,,,,
총매출, ,"18,352,395",,현금,34,"195,000",,,,,,,,,,,,,,,,,,,,
,,,,무료,77, ,,,,,,,,,,,,,,,,,,,,
