ds,y,count
2023-07-01,145500,25
2023-07-02,0,0
2023-07-03,1134100,169
2023-07-04,1255000,182
2023-07-05,1398400,190
2023-07-06,1680000,191
2023-07-07,1404200,187
2023-07-08,164400,24
2023-07-09,0,0
2023-07-10,1062300,156
2023-07-11,1017640,138
2023-07-12,1305000,163
2023-07-13,851900,121
2023-07-14,838300,121
2023-07-15,98000,12
2023-07-16,0,0
2023-07-17,1085900,180
2023-07-18,991720,146
2023-07-19,1291720,193
2023-07-20,1340120,193
2023-07-21,1194900,176
2023-07-22,81700,13
2023-07-23,0,0
2023-07-24,1064550,169
2023-07-25,1206800,173
2023-07-26,1194900,168
2023-07-27,1248820,187
2023-07-28,1102000,158
2023-07-29,52300,9
2023-07-30,0,0
2023-07-31,1090700,151
2023-08-01,1185490,174
2023-08-02,1070300,152
2023-08-03,1486200,175
2023-08-04,1097370,173
2023-08-05,57300,12
2023-08-06,0,0
2023-08-07,1062300,159
2023-08-08,1081800,163
2023-08-09,1070500,158
2023-08-10,621700,102
2023-08-11,820120,132
2023-08-12,111300,20
2023-08-13,0,0
2023-08-14,758500,132
2023-08-15,63400,11
2023-08-16,1111300,169
2023-08-17,916440,150
2023-08-18,1047950,153
2023-08-19,23300,5
2023-08-20,0,0
2023-08-21,817180,133
2023-08-22,1129200,181
2023-08-23,828900,123
2023-08-24,1169320,181
2023-08-25,1128860,162
2023-08-26,0,0
2023-08-27,0,0
2023-08-28,769720,121
2023-08-29,693800,111
2023-08-30,1118450,153
2023-08-31,1441300,157
2023-09-01,1049160,161
2023-09-02,0,0
2023-09-03,0,0
2023-09-04,1005740,169
2023-09-05,1024180,157
2023-09-06,966500,154
2023-09-07,1058010,174
2023-09-08,1018800,155
2023-09-09,0,0
2023-09-10,0,0
2023-09-11,897580,154
2023-09-12,1279730,179
2023-09-13,813900,120
2023-09-14,1107400,144
2023-09-15,801690,122
2023-09-16,0,0
2023-09-17,0,0
2023-09-18,1134190,160
2023-09-19,994000,170
2023-09-20,760060,117
2023-09-21,1017060,172
2023-09-22,1266920,173
2023-09-23,0,0
2023-09-24,0,0
2023-09-25,1038807,159
2023-09-26,776140,114
2023-09-27,0,0
2023-09-28,0,0
2023-09-29,0,0
2023-09-30,0,0
2023-10-01,0,0
2023-10-02,"69,900",11
2023-10-03,0,0
2023-10-04,"949,300",154
2023-10-05,"1,176,900",156
2023-10-06,"854,470",157
2023-10-07,0,0
2023-10-08,0,0
2023-10-09,0,0
2023-10-10,"961,700",167
2023-10-11,"1,011,950",159
2023-10-12,"1,118,400",180
2023-10-13,"1,107,250",171
2023-10-14,0,0
2023-10-15,0,0
2023-10-16,"1,027,624",173
2023-10-17,"940,200",164
2023-10-18,"1,001,710",156
2023-10-19,"937,424",141
2023-10-20,"1,159,800",166
2023-10-21,0,0
2023-10-22,0,0
2023-10-23,"1,044,340",184
2023-10-24,"1,169,400",180
2023-10-25,"1,074,910",162
2023-10-26,"1,037,000",167
2023-10-27,"1,068,969",160
2023-10-28,0,0
2023-10-29,0,0
2023-10-30,"1,121,596",201
2023-10-31,"1,249,882",187
2023-11-01,"1,076,340",171
2023-11-02,"1,076,834",171
2023-11-03,"874,400",139
2023-11-04,0,0
2023-11-05,0,0
2023-11-06,"729,200",117
2023-11-07,"1,076,170",164
2023-11-08,"969,454",130
2023-11-09,"987,772",143
2023-11-10,"864,600",117
2023-11-11,0,0
2023-11-12,0,0
2023-11-13,"733,300",125
2023-11-14,"927,448",140
2023-11-15,"846,400",138
2023-11-16,"577,116",89
2023-11-17,"930,056",137
2023-11-18,0,0
2023-11-19,0,0
2023-11-20,"763,948",121
2023-11-21,"820,312",119
2023-11-22,"869,310",130
2023-11-23,"769,712",117
2023-11-24,"893,095",127
2023-11-25,"75,300",11
2023-11-26,0,0
2023-11-27,"735,024",117
2023-11-28,"878,872",133
2023-11-29,"877,732",130
2023-11-30,"756,930",112
