ds,y,count
2023-04-01,730700,105
2023-04-02,1031800,134
2023-04-03,1091600,144
2023-04-04,1309200,148
2023-04-05,484900,66
2023-04-06,999300,126
2023-04-07,1302000,161
2023-04-08,275500,41
2023-04-09,568000,61
2023-04-10,998400,132
2023-04-11,1125300,122
2023-04-12,1304500,167
2023-04-13,1402600,155
2023-04-14,1290100,189
2023-04-15,152900,18
2023-04-16,314300,49
2023-04-17,1330900,145
2023-04-18,1009600,132
2023-04-19,1358200,170
2023-04-20,1372900,174
2023-04-21,1067500,149
2023-04-22,320200,38
2023-04-23,475261,71
2023-04-24,1242500,157
2023-04-25,831435,101
2023-04-26,1161100,148
2023-04-27,1345000,160
2023-04-28,1077480,150
2023-04-29,188500,23
2023-04-30,356600,54
2023-05-01,387000,55
2023-05-02,1012500,147
2023-05-03,1383848,153
2023-05-04,1063400,145
2023-05-05,201400,28
2023-05-06,122500,16
2023-05-07,331100,54
2023-05-08,972040,139
2023-05-09,1027500,145
2023-05-10,1350450,162
2023-05-11,1184400,148
2023-05-12,900000,133
2023-05-13,264000,38
2023-05-14,421400,69
2023-05-15,1085820,150
2023-05-16,1229237,147
2023-05-17,1263900,157
2023-05-18,1092545,158
2023-05-19,1177500,151
2023-05-20,167200,26
2023-05-21,327600,48
2023-05-22,992600,140
2023-05-23,1140957,139
2023-05-24,1155677,151
2023-05-25,1187850,150
2023-05-26,1340505,168
2023-05-27,160100,14
2023-05-28,276700,33
2023-05-29,273000,37
2023-05-30,1055700,131
2023-05-31,1261000,141
2023-06-01,1164500,145
2023-06-02,1200000,136
2023-06-03,304600,47
2023-06-04,399852,69
2023-06-05,816500,122
2023-06-06,178800,31
2023-06-07,906623,126
2023-06-08,1049630,144
2023-06-09,1332400,155
2023-06-10,149000,28
2023-06-11,560800,71
2023-06-12,943078,138
2023-06-13,1159243,143
2023-06-14,1026649,137
2023-06-15,1188177,150
2023-06-16,1186800,140
2023-06-17,168300,27
2023-06-18,377200,57
2023-06-19,961600,119
2023-06-20,823250,113
2023-06-21,905900,116
2023-06-22,1066699,129
2023-06-23,1159756,149
2023-06-24,261700,36
2023-06-25,313700,49
2023-06-26,864799,113
