ds,y,count,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,"913,900",125,,,,,,,,,,,,,,,,,,,,,,
2023-12-02,"215,600",29,,,,,,,,,,,,,,,,,,,,,,
2023-12-03,"223,244",42,,,,,,,,,,,,,,,,,,,,,,
2023-12-04,"706,900",111,,,,,,,,,,,,,,,,,,,,,,
2023-12-05,"906,200",111,,,,,,,,,,,,,,,,,,,,,,
2023-12-06,"841,600",109,,,,,,,,,,,,,,,,,,,,,,
2023-12-07,"769,457",114,,,,,,,,,,,,,,,,,,,,,,
2023-12-08,"1,034,808",152,,,,,,,,,,,,,,,,,,,,,,
2023-12-09,"283,800",41,,,,,,,,,,,,,,,,,,,,,,
2023-12-10,"236,700",40,,,,,,,,,,,,,,,,,,,,,,
2023-12-11,"455,841",73,,,,,,,,,,,,,,,,,,,,,,
2023-12-12,"799,922",124,,,,,,,,,,,,,,,,,,,,,,
2023-12-13,"847,125",123,,,,,,,,,,,,,,,,,,,,,,
2023-12-14,"882,300",102,,,,,,,,,,,,,,,,,,,,,,
2023-12-15,"555,330",91,,,,,,,,,,,,,,,,,,,,,,
2023-12-16,"175,400",32,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
