2023-11 매출 (키오스크),,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-11-01,122,"883,200",0,0,0,0,0,0,0,0,"58,500","93,800",0,"53,900","468,600","51,400","63,800","8,500","26,400","12,600","4,800","21,300","19,600",0,0,0
2023-11-02,138,"1,090,147",0,0,0,0,0,0,0,"2,500","70,187","75,000","40,600","57,740","497,600","235,300","15,620","14,300","25,600","2,500",0,"23,900","25,200","4,100",0,0
2023-11-03,138,"1,041,478",0,0,0,0,0,0,0,0,"42,300","75,300","17,010","111,100","503,868","58,500","54,400","28,400","69,800","11,000","10,000","35,000","24,800",0,0,0
2023-11-04,31,"193,000",0,0,0,0,0,0,0,0,0,0,"11,500","12,300","22,600","46,400","16,200","54,400","29,600",0,0,0,0,0,0,0
2023-11-05,51,"284,000",0,0,0,0,0,0,0,0,0,0,"18,800","5,000","88,500","39,500","29,200","48,800","25,500","28,700",0,0,0,0,0,0
2023-11-06,100,"664,500",0,0,0,0,0,0,0,0,"35,600","31,800","10,500","77,100","275,200","81,100","17,000","17,900","18,600","12,000","25,800","14,500","35,300","12,100",0,0
2023-11-07,123,"964,700",0,0,0,0,0,0,0,"2,500","31,000","35,900","34,000","92,000","521,900","117,300","27,900","38,500",0,"29,600","14,500","2,500","17,100",0,0,0
2023-11-08,135,"1,041,803",0,0,0,0,0,0,0,"2,500","37,300","50,300","35,300","58,700","541,203","97,100","119,800","20,000","12,100","2,500","20,800","27,600","16,600",0,0,0
2023-11-09,145,"950,251",0,0,0,0,0,0,0,"9,500","55,300","59,151","30,900","104,200","395,900","117,300","19,300","72,700","8,000","2,500","14,600","49,400","4,500","7,000",0,0
2023-11-10,132,"882,850",0,0,0,0,0,0,0,0,"51,800","53,800","103,400","107,100","346,400","66,600","39,500","27,300","9,000","7,150","14,600","32,700","23,500",0,0,0
2023-11-11,33,"212,600",0,0,0,0,0,0,0,0,0,0,"20,500","31,800","35,000","10,000","59,200","36,300","14,800","5,000",0,0,0,0,0,0
2023-11-12,50,"383,700",0,0,0,0,0,0,0,0,0,0,"5,500","55,800","41,900","140,500","31,900","36,300","56,500","15,300",0,0,0,0,0,0
2023-11-13,113,"847,000",0,0,0,0,0,0,0,0,"38,300","27,200","52,300","36,600","426,000","101,000","17,500","29,600","71,300","15,800","10,000","5,000","16,400",0,0,0
2023-11-14,128,"919,522",0,0,0,0,0,0,0,0,"67,700","54,300","8,500","37,522","416,300","119,000","2,500","53,800","22,600",0,"19,300","32,300","85,700",0,0,0
2023-11-15,134,"1,084,799",0,0,0,0,0,0,0,"7,300","152,800","31,800","18,300","63,500","532,599","128,000","23,600","12,500","8,800","8,500","20,100","10,800","57,100","9,100",0,0
2023-11-16,99,"691,522",0,0,0,0,0,0,0,"9,600","23,800","59,900","16,200","68,400","261,822","108,600","9,800","37,800","5,000","34,900","18,000","14,600","23,100",0,0,0
2023-11-17,128,"853,800",0,0,0,0,0,0,0,"2,500","39,300","19,900","21,800","72,000","407,000","132,200","24,000","27,400","35,100","18,100","12,300","33,900","8,300",0,0,0
2023-11-18,41,"235,900",0,0,0,0,0,0,0,0,0,0,"2,500","28,900","31,700","62,300","30,900","49,000","18,800","11,800",0,0,0,0,0,0
2023-11-19,49,"343,000",0,0,0,0,0,0,0,0,0,0,"10,000","13,500","165,100","107,900","19,800","5,500","2,000","19,200",0,0,0,0,0,0
2023-11-20,121,"762,800",0,0,0,0,0,0,0,"10,300","41,000","70,000","14,500","69,600","326,900","86,100","75,700","43,100","8,600","7,500",0,"3,500","6,000",0,0,0
2023-11-21,131,"978,632",0,0,0,0,0,0,0,0,"113,900","47,552","28,800","43,700","535,180","91,600","27,500","18,100","8,800","33,900",0,"11,800","17,800",0,0,0
2023-11-22,136,"923,088",0,0,0,0,0,0,0,"5,000","79,100","24,100","19,100","100,100","442,600","134,788","7,300","16,800","31,200","9,600","13,800","25,500","9,300","4,800",0,0
2023-11-23,140,"988,015",0,0,0,0,0,0,0,0,"44,600","71,700","21,900","107,900","459,915","174,600","55,000","15,000",0,"19,600","5,000",0,"7,500","5,300",0,0
2023-11-24,106,"765,098",0,0,0,0,0,0,0,"9,300","95,000","8,898","47,000","41,200","320,800","60,500","14,500","11,000","33,800","22,000","38,100","45,300","11,000","6,700",0,0
2023-11-25,27,"195,800",0,0,0,0,0,0,0,0,0,0,"29,900","9,800","16,500","32,600","34,000","29,100","35,600","8,300",0,0,0,0,0,0
2023-11-26,46,"278,356",0,0,0,0,0,0,0,0,0,0,"20,100","20,000","71,800","65,956","12,600","37,900","39,200","10,800",0,0,0,0,0,0
2023-11-27,84,"492,400",0,0,0,0,0,0,0,0,"32,300","45,000","10,000","48,900","213,000","44,400","19,600","13,100","24,300",0,"5,000","7,500","29,300",0,0,0
2023-11-28,130,"796,500",0,0,0,0,0,0,0,0,"84,700","48,100","24,600","96,600","287,500","102,000","29,700","22,600","19,800",0,"27,900","30,600","12,800","9,600",0,0
2023-11-29,114,"926,884",0,0,0,0,0,0,0,0,"168,500","32,300","19,600","56,800","439,884","82,600","28,400","5,300","9,800","10,000","8,000","33,500","32,200",0,0,0
2023-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,"2,925","20,675,345",0,0,0,0,0,0,0,"61,000","1,362,987","1,015,801","693,110","1,681,762","9,093,271","2,695,144","926,220","831,000","670,600","358,850","282,600","461,200","483,100","58,700",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
매출합계내역,,,,결제수단별,,,,,,,,,,,,,,,,,,,,,,
총합계,"2,925","21,248,400",,카드,"2,169","16,041,119",,,,,,,,,,,,,,,,,,,,
포인트사용,150,"573,055",,삼성페이,597,"4,266,621",,,,,,,,,,,,,,,,,,,,
할인, , ,,간편결제, , ,,,,,,,,,,,,,,,,,,,,
총매출, ,"20,675,345",,현금,56,"367,605",,,,,,,,,,,,,,,,,,,,
,,,,무료,103, ,,,,,,,,,,,,,,,,,,,,
