ds,y,count
2023-01-01,0,0
2023-01-02,0,0
2023-01-03,0,0
2023-01-04,0,0
2023-01-05,0,0
2023-01-06,0,0
2023-01-07,"451,800",76
2023-01-08,0,0
2023-01-09,"619,300",102
2023-01-10,"593,765",92
2023-01-11,"640,800",100
2023-01-12,"737,600",125
2023-01-13,"707,600",114
2023-01-14,"701,700",101
2023-01-15,0,0
2023-01-16,"633,200",97
2023-01-17,"541,400",103
2023-01-18,"669,000",99
2023-01-19,"649,640",99
2023-01-20,"549,200",102
2023-01-21,"357,200",76
2023-01-22,0,0
2023-01-23,"252,500",42
2023-01-24,"174,600",28
2023-01-25,"580,500",85
2023-01-26,"515,400",90
2023-01-27,"682,020",109
2023-01-28,"544,700",86
2023-01-29,0,0
2023-01-30,"555,200",104
2023-01-31,"625,200",104
2023-02-01,"634,025",105
2023-02-02,"679,500",114
2023-02-03,"782,600",112
2023-02-04,"593,300",89
2023-02-05,0,0
2023-02-06,"660,800",116
2023-02-07,"662,800",107
2023-02-08,"642,000",103
2023-02-09,"602,600",104
2023-02-10,"701,100",116
2023-02-11,"679,700",115
2023-02-12,0,0
2023-02-13,"734,300",120
2023-02-14,"638,100",122
2023-02-15,"637,700",97
2023-02-16,"775,800",127
2023-02-17,"663,900",114
2023-02-18,"635,300",87
2023-02-19,0,0
2023-02-20,"521,600",103
2023-02-21,"700,200",117
2023-02-22,"740,310",114
2023-02-23,"601,400",96
2023-02-24,"819,700",120
2023-02-25,"753,100",112
2023-02-26,0,0
2023-02-27,"658,600",109
2023-02-28,"721,300",111
2023-03-01,"390,800",68
2023-03-02,"670,300",106
2023-03-03,"762,000",129
2023-03-04,"671,500",96
2023-03-05,0,0
2023-03-06,"559,900",94
2023-03-07,"799,100",124
2023-03-08,"732,000",118
2023-03-09,"727,600",133
2023-03-10,"737,245",123
2023-03-11,"795,365",132
2023-03-12,0,0
2023-03-13,"667,700",116
2023-03-14,"834,300",129
2023-03-15,"743,800",116
2023-03-16,"729,100",103
2023-03-17,"724,300",124
2023-03-18,"751,000",112
2023-03-19,0,0
2023-03-20,"578,500",104
2023-03-21,"766,100",113
2023-03-22,"699,000",118
2023-03-23,"867,600",141
2023-03-24,"1,033,100",173
2023-03-25,"897,000",146
2023-03-26,0,0
2023-03-27,"667,800",126
2023-03-28,"903,600",139
2023-03-29,"1,062,100",161
2023-03-30,"924,600",147
2023-03-31,"896,700",156
2023-04-01,"1,024,100",171
2023-04-02,0,0
2023-04-03,"845,600",153
2023-04-04,"990,000",155
2023-04-05,"635,000",110
2023-04-06,"766,000",136
2023-04-07,"898,000",152
2023-04-08,"961,800",160
2023-04-09,0,0
2023-04-10,"758,400",124
2023-04-11,"733,500",123
2023-04-12,"912,800",137
2023-04-13,"729,200",132
2023-04-14,"986,100",164
2023-04-15,"774,500",139
2023-04-16,0,0
2023-04-17,"900,500",154
2023-04-18,"746,700",123
2023-04-19,"733,800",116
2023-04-20,"751,010",123
2023-04-21,"933,705",160
2023-04-22,"925,600",160
2023-04-23,"319,800",53
2023-04-24,"916,890",152
2023-04-25,"766,560",134
2023-04-26,"847,800",150
2023-04-27,"873,800",149
2023-04-28,"1,050,700",174
2023-04-29,"820,600",118
2023-04-30,"378,500",63
2023-05-01,"769,900",141
2023-05-02,"811,400",128
2023-05-03,"816,300",148
2023-05-04,"732,800",138
2023-05-05,"289,100",47
2023-05-06,"522,700",81
2023-05-07,"304,700",52
2023-05-08,"780,300",145
2023-05-09,"920,800",156
2023-05-10,"932,400",138
2023-05-11,"846,900",142
2023-05-12,"764,300",140
2023-05-13,"234,800",45
2023-05-14,"174,200",31
2023-05-15,"729,700",116
2023-05-16,"1,038,800",149
2023-05-17,"891,145",151
2023-05-18,"842,700",133
2023-05-19,"1,015,470",163
2023-05-20,"846,000",142
2023-05-21,"401,500",54
2023-05-22,"669,500",123
2023-05-23,"831,000",142
2023-05-24,"912,700",153
2023-05-25,"926,700",163
2023-05-26,"1,071,500",169
2023-05-27,"649,425",98
2023-05-28,"210,000",34
2023-05-29,"589,900",99
2023-05-30,"947,400",159
2023-05-31,"874,085",142
2023-06-01,"845,700",142
2023-06-02,"987,450",179
2023-06-03,"745,000",138
2023-06-04,"348,400",64
2023-06-05,"717,950",132
2023-06-06,"405,500",65
2023-06-07,"884,800",152
2023-06-08,"882,600",149
2023-06-09,"967,600",161
2023-06-10,"769,900",120
2023-06-11,"505,500",81
2023-06-12,"745,800",134
2023-06-13,"1,128,300",167
2023-06-14,"914,425",151
2023-06-15,"858,800",150
2023-06-16,"978,430",167
2023-06-17,"931,800",149
2023-06-18,"373,000",60
2023-06-19,"941,000",159
2023-06-20,"849,000",146
2023-06-21,"787,300",128
2023-06-22,"1,089,515",156
2023-06-23,"947,400",174
2023-06-24,"882,600",153
2023-06-25,"510,400",81
2023-06-26,"882,370",145
2023-06-27,"962,600",170
2023-06-28,"891,400",144
2023-06-29,"588,800",107
2023-06-30,"1,048,500",171
2023-07-01,"965,000",161
2023-07-02,"681,200",87
2023-07-03,"968,900",166
2023-07-04,"979,900",167
2023-07-05,"1,036,500",172
2023-07-06,"961,100",162
2023-07-07,"1,009,600",172
2023-07-08,"1,024,300",168
2023-07-09,"172,300",29
2023-07-10,"1,080,900",173
2023-07-11,"674,200",129
2023-07-12,"951,500",169
2023-07-13,"746,600",116
2023-07-14,"857,560",151
2023-07-15,"665,500",122
2023-07-16,"403,000",71
2023-07-17,"829,400",156
2023-07-18,"766,100",144
2023-07-19,"1,060,505",187
2023-07-20,"1,140,900",177
2023-07-21,"1,185,300",191
2023-07-22,"841,500",139
2023-07-23,"419,800",71
2023-07-24,"959,100",167
2023-07-25,"889,900",170
2023-07-26,"905,000",161
2023-07-27,"1,084,502",172
2023-07-28,"1,091,796",181
2023-07-29,"1,120,200",160
2023-07-30,"485,900",90
2023-07-31,"916,200",153
2023-08-01,"946,300",159
2023-08-02,"992,800",161
2023-08-03,"879,500",154
2023-08-04,"1,043,300",178
2023-08-05,"653,500",121
2023-08-06,"352,600",63
2023-08-07,"735,700",131
2023-08-08,"985,078",170
2023-08-09,"1,105,400",180
2023-08-10,"653,800",109
2023-08-11,"824,900",147
2023-08-12,"797,500",137
2023-08-13,"392,400",62
2023-08-14,"695,700",139
2023-08-15,"422,800",80
2023-08-16,"998,300",165
2023-08-17,"864,020",149
2023-08-18,"864,400",169
2023-08-19,"906,700",134
2023-08-20,"436,300",74
2023-08-21,"884,500",141
2023-08-22,"698,800",123
2023-08-23,"605,700",121
2023-08-24,"851,209",153
2023-08-25,"1,018,600",166
2023-08-26,"926,522",143
2023-08-27,"366,400",68
2023-08-28,"775,000",140
2023-08-29,"722,900",122
2023-08-30,"911,000",147
2023-08-31,"804,100",141
2023-09-01,"935,167",156
2023-09-02,"781,900",137
2023-09-03,"599,600",90
2023-09-04,"731,100",144
2023-09-05,"770,600",145
2023-09-06,"843,300",139
2023-09-07,"934,100",165
2023-09-08,"979,800",170
2023-09-09,"1,133,900",184
2023-09-10,"437,296",76
2023-09-11,"821,500",147
2023-09-12,"997,100",167
2023-09-13,"639,200",122
2023-09-14,"982,700",162
2023-09-15,"855,700",144
2023-09-16,"922,500",159
2023-09-17,"546,200",84
2023-09-18,"873,400",167
2023-09-19,"869,760",142
2023-09-20,"691,900",117
2023-09-21,"1,110,200",169
2023-09-22,"1,027,300",179
2023-09-23,"993,400",166
2023-09-24,"592,400",89
2023-09-25,"889,700",146
2023-09-26,"933,800",155
2023-09-27,"998,100",158
2023-09-28,"486,000",85
2023-09-29,0,0
2023-09-30,"293,400",41
2023-10-01,0,0
2023-10-02,91,"581,400"
2023-10-03,76,"473,900"
2023-10-04,120,"600,600"
2023-10-05,168,"995,600"
2023-10-06,192,"1,148,900"
2023-10-07,160,"939,700"
2023-10-08,70,"457,200"
2023-10-09,101,"566,200"
2023-10-10,177,"1,018,300"
2023-10-11,165,"956,800"
2023-10-12,146,"769,900"
2023-10-13,168,"942,800"
2023-10-14,138,"823,100"
2023-10-15,72,"458,100"
2023-10-16,146,"789,500"
2023-10-17,145,"862,900"
2023-10-18,163,"955,200"
2023-10-19,162,"1,003,075"
2023-10-20,162,"990,500"
2023-10-21,153,"911,900"
2023-10-22,76,"478,800"
2023-10-23,157,"968,100"
2023-10-24,179,"1,093,300"
2023-10-25,176,"1,036,500"
2023-10-26,164,"967,400"
2023-10-27,154,"901,400"
2023-10-28,164,"982,800"
2023-10-29,62,"340,600"
2023-10-30,148,"847,700"
2023-10-31,161,"879,500"
