2023-09 매출 (키오스크),,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-09-01,156,"935,167",0,0,0,0,0,0,0,0,"6,000","88,500","58,000","54,800","175,567","169,200","83,400","76,700","77,000","31,900","43,200","26,300","34,600","10,000",0,0
2023-09-02,137,"781,900",0,0,0,0,0,0,0,0,"12,300","69,300","50,100","62,100","86,200","115,400","118,400","67,000","55,600","38,900","24,600","27,100","52,400","2,500",0,0
2023-09-03,90,"599,600",0,0,0,0,0,0,0,0,0,0,"73,400","62,400","150,100","117,300","50,800","83,800","36,200","25,600",0,0,0,0,0,0
2023-09-04,144,"731,100",0,0,0,0,0,0,0,0,"23,300","77,300","38,400","71,000","159,900","70,800","83,800","72,200","25,100","16,300","51,500","13,000","11,600","16,900",0,0
2023-09-05,145,"770,600",0,0,0,0,0,0,0,0,"62,100","95,500","46,500","29,100","136,600","86,300","58,700","43,500","24,700","62,500","22,300","63,400","36,900","2,500",0,0
2023-09-06,139,"843,300",0,0,0,0,0,0,0,0,"34,500","38,400","12,500","65,900","187,400","146,100","105,900","66,100","75,000","10,800","35,200","43,300","22,200",0,0,0
2023-09-07,165,"934,100",0,0,0,0,0,0,0,0,"21,000","76,800","47,400","46,600","199,800","129,000","203,500","40,900","31,800","15,300","20,300","28,800","24,900","48,000",0,0
2023-09-08,170,"979,800",0,0,0,0,0,0,0,0,"48,900","68,300","51,600","39,300","164,000","182,500","94,400","74,600","77,700","40,300","21,700","65,400","22,500","28,600",0,0
2023-09-09,184,"1,133,900",0,0,0,0,0,0,0,0,"23,100","73,200","105,600","71,200","165,400","148,600","75,700","97,600","69,900","39,400","81,800","50,300","127,100","5,000",0,0
2023-09-10,76,"437,296",0,0,0,0,0,0,0,0,0,0,"32,000","35,700","47,100","106,800","104,400","36,700","56,000","18,596",0,0,0,0,0,0
2023-09-11,147,"821,500",0,0,0,0,0,0,0,0,"33,900","93,100","51,800","30,100","146,500","111,500","162,500","72,100","44,600","10,800","24,500","13,500","17,300","9,300",0,0
2023-09-12,167,"997,100",0,0,0,0,0,0,0,0,"36,700","115,800","48,100","62,800","180,300","144,600","78,600","90,200","36,400","72,000","13,300","26,600","54,300","37,400",0,0
2023-09-13,122,"639,200",0,0,0,0,0,0,0,0,"18,100","51,100","54,900","21,500","80,000","99,800","64,700","57,100","96,600","22,500","10,300","36,600","8,500","17,500",0,0
