ds,y,count
2023-01-01,0,0
2023-01-02,0,0
2023-01-03,0,0
2023-01-04,0,0
2023-01-05,0,0
2023-01-06,0,0
2023-01-07,287700,49
2023-01-08,262900,45
2023-01-09,180200,27
2023-01-10,175300,30
2023-01-11,334500,46
2023-01-12,192300,33
2023-01-13,275000,41
2023-01-14,315500,46
2023-01-15,267000,45
2023-01-16,0,0
2023-01-17,182900,31
2023-01-18,197800,31
2023-01-19,154100,31
2023-01-20,231900,40
2023-01-21,0,0
2023-01-22,0,0
2023-01-23,0,0
2023-01-24,211700,34
2023-01-25,276000,45
2023-01-26,180300,32
2023-01-27,107100,18
2023-01-28,171200,31
2023-01-29,279400,47
2023-01-30,189000,34
2023-01-31,121000,20
2023-02-01,277000,37
2023-02-02,221900,33
2023-02-03,240800,43
2023-02-04,394800,57
2023-02-05,228800,39
2023-02-06,0,0
2023-02-07,197100,31
2023-02-08,227600,34
2023-02-09,250500,36
2023-02-10,147100,27
2023-02-11,260900,39
2023-02-12,281800,37
2023-02-13,123000,24
2023-02-14,126100,20
2023-02-15,198700,31
2023-02-16,160500,25
2023-02-17,143200,24
2023-02-18,205400,25
2023-02-19,339700,57
2023-02-20,0,0
2023-02-21,142200,29
2023-02-22,191800,28
2023-02-23,191000,26
2023-02-24,184400,27
2023-02-25,334800,47
2023-02-26,280900,37
2023-02-27,166400,26
2023-02-28,230700,29
2023-03-01,228400,36
2023-03-02,142300,25
2023-03-03,212400,35
2023-03-04,341100,55
2023-03-05,349800,43
2023-03-06,0,0
2023-03-07,250000,37
2023-03-08,166800,31
2023-03-09,218800,34
2023-03-10,239300,40
2023-03-11,385200,59
2023-03-12,175300,22
2023-03-13,188200,32
2023-03-14,217500,39
2023-03-15,288300,42
2023-03-16,187000,31
2023-03-17,176600,30
2023-03-18,341300,49
2023-03-19,236900,38
2023-03-20,0,0
2023-03-21,251300,33
2023-03-22,249900,39
2023-03-23,138000,25
2023-03-24,180100,28
2023-03-25,330800,54
2023-03-26,361200,50
2023-03-27,128300,23
2023-03-28,197800,32
2023-03-29,277100,34
2023-03-30,161000,31
2023-03-31,222500,38
2023-04-01,362000,50
2023-04-02,238200,40
2023-04-03,0,0
2023-04-04,249200,42
2023-04-05,99300,18
2023-04-06,253900,32
2023-04-07,181600,30
2023-04-08,345400,49
2023-04-09,366100,50
2023-04-10,184100,28
2023-04-11,189700,34
2023-04-12,158600,29
2023-04-13,161100,28
2023-04-14,177800,25
2023-04-15,302500,42
2023-04-16,129300,22
2023-04-17,0,0
2023-04-18,153300,24
2023-04-19,177800,29
2023-04-20,110100,21
2023-04-21,302300,49
2023-04-22,396900,52
2023-04-23,356300,47
2023-04-24,145800,21
2023-04-25,156500,24
2023-04-26,285400,44
2023-04-27,238100,39
2023-04-28,272600,44
2023-04-29,225900,29
2023-04-30,322000,44
2023-05-01,0,0
2023-05-02,219500,37
2023-05-03,230600,32
2023-05-04,184700,36
2023-05-05,257600,30
2023-05-06,170600,23
2023-05-07,228200,27
2023-05-08,192300,27
2023-05-09,243300,38
2023-05-10,144200,21
2023-05-11,119100,17
2023-05-12,200000,25
2023-05-13,261500,40
2023-05-14,307500,43
2023-05-15,0,0
2023-05-16,227000,33
2023-05-17,195900,30
2023-05-18,180200,27
2023-05-19,216100,31
2023-05-20,241600,34
2023-05-21,262800,40
2023-05-22,217600,33
2023-05-23,214200,39
2023-05-24,211700,32
2023-05-25,218700,33
2023-05-26,174700,25
2023-05-27,405000,30
2023-05-28,169500,22
2023-05-29,292600,41
2023-05-30,159100,23
2023-05-31,237500,34
2023-06-01,177100,31
2023-06-02,193000,26
2023-06-03,239600,36
2023-06-04,264600,36
2023-06-05,0,0
2023-06-06,307800,43
2023-06-07,176500,25
2023-06-08,146700,20
2023-06-09,196800,33
2023-06-10,305000,47
2023-06-11,329800,44
2023-06-12,153700,25
2023-06-13,232400,35
2023-06-14,137500,20
2023-06-15,275900,31
2023-06-16,174000,25
2023-06-17,302700,44
2023-06-18,292100,38
2023-06-19,0,0
2023-06-20,172700,28
2023-06-21,138300,25
2023-06-22,230200,36
2023-06-23,131100,19
2023-06-24,228100,37
2023-06-25,159200,23
2023-06-26,137100,17
2023-06-27,171000,28
2023-06-28,111100,20
2023-06-29,82600,16
2023-06-30,261000,42
2023-07-01,285500,41
2023-07-02,271200,44
2023-07-03,0,0
2023-07-04,136400,22
2023-07-05,157400,23
2023-07-06,129600,19
2023-07-07,177100,31
2023-07-08,268300,38
2023-07-09,209500,30
2023-07-10,111200,18
2023-07-11,130400,22
2023-07-12,230100,25
2023-07-13,86200,14
2023-07-14,127400,16
2023-07-15,265000,39
2023-07-16,210200,29
2023-07-17,0,0
2023-07-18,123000,17
2023-07-19,198600,25
2023-07-20,198100,31
2023-07-21,137400,23
2023-07-22,202700,28
2023-07-23,200000,31
2023-07-24,161500,27
2023-07-25,196100,29
2023-07-26,168400,28
2023-07-27,222200,31
2023-07-28,155100,22
2023-07-29,220400,35
2023-07-30,250200,39
2023-07-31,183500,28
2023-08-01,126700,27
2023-08-02,119700,20
2023-08-03,180900,32
2023-08-04,223700,32
2023-08-05,207200,35
2023-08-06,198500,29
2023-08-07,0,0
2023-08-08,153300,20
2023-08-09,173300,23
2023-08-10,106189,18
2023-08-11,203300,27
2023-08-12,208100,31
2023-08-13,242000,33
2023-08-14,204500,28
2023-08-15,253400,39
2023-08-16,157400,23
2023-08-17,281300,36
2023-08-18,220800,34
2023-08-19,209600,32
2023-08-20,274300,45
2023-08-21,0,0
2023-08-22,127600,25
2023-08-23,144300,24
2023-08-24,119900,23
2023-08-25,228700,26
2023-08-26,217200,34
2023-08-27,256500,42
2023-08-28,148000,14
2023-08-29,196900,24
2023-08-30,131400,21
2023-08-31,234800,30
2023-09-01,"182,900",27
2023-09-02,"301,500",38
2023-09-03,"257,200",36
2023-09-04,0,0
2023-09-05,"148,900",24
2023-09-06,"192,400",24
2023-09-07,"123,000",25
2023-09-08,"125,900",22
2023-09-09,"332,500",39
2023-09-10,"311,500",42
2023-09-11,"56,900",11
2023-09-12,"198,700",31
2023-09-13,"83,000",15
2023-09-14,"144,100",24
2023-09-15,"162,500",25
2023-09-16,"243,700",32
2023-09-17,"319,300",46
2023-09-18,0,0
2023-09-19,0,0
2023-09-20,0,0
2023-09-21,0,0
2023-09-22,"220,500",37
2023-09-23,"189,800",31
2023-09-24,"369,300",50
2023-09-25,"156,400",27
2023-09-26,"129,200",18
2023-09-27,"144,600",27
2023-09-28,"180,000",26
2023-09-29,0,0
2023-09-30,"301,000",35
2023-10-01,"286,900",39
2023-10-02,0,0
2023-10-03,"265,000",41
2023-10-04,"133,700",24
2023-10-05,"217,100",28
2023-10-06,"160,800",25
2023-10-07,"256,000",39
2023-10-08,"299,200",44
2023-10-09,"289,900",36
2023-10-10,"140,100",27
2023-10-11,"208,800",32
2023-10-12,"153,300",29
2023-10-13,"163,200",30
2023-10-14,"196,200",33
2023-10-15,"343,500",53
2023-10-16,0,0
2023-10-17,"213,700",33
2023-10-18,"149,500",23
2023-10-19,"167,500",29
2023-10-20,"204,400",31
2023-10-21,"234,000",34
2023-10-22,"232,100",33
2023-10-23,"145,300",25
2023-10-24,"141,900",26
2023-10-25,"181,400",37
2023-10-26,"233,900",31
2023-10-27,"229,400",26
2023-10-28,"254,300",34
2023-10-29,"334,500",48
2023-10-30,"164,000",22
2023-10-31,"215,200",36
2023-11-01,"139,400",28
2023-11-02,"200,800",30
2023-11-03,"105,900",19
2023-11-04,"313,600",38
2023-11-05,"238,600",35
2023-11-06,0,0
2023-11-07,"112,100",18
2023-11-08,"162,900",27
2023-11-09,"186,000",30
2023-11-10,"155,100",26
2023-11-11,"173,400",25
2023-11-12,"225,200",38
2023-11-13,"95,200",20
2023-11-14,"163,000",32
2023-11-15,"205,500",27
2023-11-16,"144,400",27
2023-11-17,"135,000",22
2023-11-18,"247,900",36
2023-11-19,"267,900",34
2023-11-20,0,0
2023-11-21,"93,600",18
2023-11-22,"157,300",26
2023-11-23,"149,500",22
2023-11-24,"103,600",17
2023-11-25,"163,400",26
2023-11-26,"150,400",26
2023-11-27,"138,800",25
2023-11-28,"165,200",23
2023-11-29,"139,700",21
2023-11-30,0,0
