2023-11 매출 (키오스크),,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-11-01,28,"139,400",0,0,0,0,0,0,0,0,"3,900","29,200","14,800",0,"10,700","6,800","19,300","9,400","13,800","5,500","21,100","4,900",0,0,0,0
2023-11-02,30,"200,800",0,0,0,0,0,0,0,0,"2,900","13,800","25,100","30,700","41,000","21,900","28,400",0,"17,600","19,400",0,0,0,0,0,0
2023-11-03,19,"105,900",0,0,0,0,0,0,0,0,0,"5,800",0,"9,700","28,000","20,700","10,700","8,000","17,200","5,800",0,0,0,0,0,0
2023-11-04,38,"313,600",0,0,0,0,0,0,0,0,0,0,"16,800","33,200","31,100","57,700","84,800","9,700","50,800","11,900","17,600",0,0,0,0,0
2023-11-05,35,"238,600",0,0,0,0,0,0,0,0,0,0,"23,500","67,300","34,900","20,900","22,600","25,000","30,300","11,200","2,900",0,0,0,0,0
2023-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-07,18,"112,100",0,0,0,0,0,0,0,0,"2,900","5,800",0,"21,400","20,700","23,000","9,700","14,100",0,"14,500",0,0,0,0,0,0
2023-11-08,27,"162,900",0,0,0,0,0,0,0,0,0,"2,900","11,900","2,900","49,500","15,500","24,900","23,800","8,000","5,800","7,800","9,900",0,0,0,0
2023-11-09,30,"186,000",0,0,0,0,0,0,0,0,"3,900","19,900","18,200","19,900","13,000","22,600","39,400","25,800","16,500","2,900","3,900",0,0,0,0,0
2023-11-10,26,"155,100",0,0,0,0,0,0,0,0,0,"22,600","2,900","41,600",0,"11,000","46,200","10,900",0,0,"8,200","11,700",0,0,0,0
2023-11-11,25,"173,400",0,0,0,0,0,0,0,0,0,0,"14,900","20,400","8,700","31,000","17,700","42,500","27,200",0,"11,000",0,0,0,0,0
2023-11-12,38,"225,200",0,0,0,0,0,0,0,0,0,"10,200","27,200","15,800","20,800","39,800","36,300","28,200",0,"46,900",0,0,0,0,0,0
2023-11-13,20,"95,200",0,0,0,0,0,0,0,0,0,"14,600","6,800","3,900","14,600","3,900","10,600","14,800","13,700","4,500","7,800",0,0,0,0,0
2023-11-14,32,"163,000",0,0,0,0,0,0,0,0,0,"23,600","7,400","20,300","37,400","40,200","9,400","10,900","8,000",0,0,"5,800",0,0,0,0
2023-11-15,27,"205,500",0,0,0,0,0,0,0,0,0,"9,700","17,000","32,500","52,800","20,800","59,800","9,000",0,0,"3,900",0,0,0,0,0
2023-11-16,27,"144,400",0,0,0,0,0,0,0,0,0,"66,500","19,200",0,"13,700","24,000","2,900","15,200","2,900",0,0,0,0,0,0,0
2023-11-17,22,"135,000",0,0,0,0,0,0,0,0,0,"11,700","3,900","16,400",0,"27,200","25,800","33,100","5,100","4,900","6,900",0,0,0,0,0
2023-11-18,36,"247,900",0,0,0,0,0,0,0,0,0,0,"47,400","33,800","24,500","62,100","19,800","25,000","20,800","14,500",0,0,0,0,0,0
2023-11-19,34,"267,900",0,0,0,0,0,0,0,0,0,"10,300","28,800","19,400","6,800","73,900","23,200","34,000","26,000","25,100","20,400",0,0,0,0,0
2023-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-21,18,"93,600",0,0,0,0,0,0,0,0,"2,900","11,900","15,800","11,700","22,200","10,400","2,900","15,800",0,0,0,0,0,0,0,0
2023-11-22,26,"157,300",0,0,0,0,0,0,0,0,0,"26,400","13,100","41,400","14,600","15,400","9,000",0,"32,400","5,000",0,0,0,0,0,0
2023-11-23,22,"149,500",0,0,0,0,0,0,0,0,"5,100","29,400",0,"2,900","20,600","15,800","38,800","17,700","19,200",0,0,0,0,0,0,0
2023-11-24,17,"103,600",0,0,0,0,0,0,0,0,0,"12,600","3,900","8,000","5,800","6,800","15,500","36,200","4,900",0,0,"9,900",0,0,0,0
2023-11-25,26,"163,400",0,0,0,0,0,0,0,0,0,"5,800","16,500","13,800","32,900","20,200","46,000","2,900","22,400","2,900",0,0,0,0,0,0
2023-11-26,26,"150,400",0,0,0,0,0,0,0,0,0,0,"6,800","27,200","38,200","24,100","16,500","11,900","20,600","5,100",0,0,0,0,0,0
2023-11-27,25,"138,800",0,0,0,0,0,0,0,0,0,"12,600","3,900","7,700","23,500","28,200","22,600","13,600","14,200","5,100",0,"7,400",0,0,0,0
2023-11-28,23,"165,200",0,0,0,0,0,0,0,0,"4,800","16,600","40,400","24,000","29,300","7,800","7,800","20,800",0,"13,700",0,0,0,0,0,0
2023-11-29,21,"139,700",0,0,0,0,0,0,0,0,0,"16,000","14,100","12,600","17,700","15,000","28,700","12,800",0,"7,400","5,400","10,000",0,0,0,0
2023-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,716,"4,533,400",0,0,0,0,0,0,0,0,"26,400","377,900","400,300","538,500","613,000","666,700","679,300","471,100","371,600","212,100","116,900","59,600",0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
매출합계내역,,,,결제수단별,,,,,,,,,,,,,,,,,,,,,,
총합계,716,"4,533,400",,카드,550,"3,449,200",,,,,,,,,,,,,,,,,,,,
포인트사용, , ,,삼성페이,146,"950,600",,,,,,,,,,,,,,,,,,,,
할인, , ,,간편결제, , ,,,,,,,,,,,,,,,,,,,,
총매출, ,"4,533,400",,현금,20,"133,600",,,,,,,,,,,,,,,,,,,,
,,,,무료, , ,,,,,,,,,,,,,,,,,,,,
