2023-09 ¸ÅÃâ (Å°¿À½ºÅ©),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Date,Count,Sum,0.0,1,2,3,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
2023-09-01,154,1105770,0.0,0,0,0,0.0,0.0,0.0,25200.0,119960.0,108620.0,116300.0,65600.0,362490.0,147800.0,25700.0,27400.0,54900.0,5100.0,0.0,29800.0,16900.0,0.0,0.0,0.0
2023-09-02,28,122340,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,8400.0,12200.0,5600.0,36740.0,25800.0,22400.0,11200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-03,24,125030,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6600.0,26600.0,11730.0,22600.0,20600.0,23700.0,9400.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-04,198,1388170,0.0,0,0,0,0.0,0.0,2800.0,96700.0,162000.0,109240.0,93240.0,64500.0,489890.0,135500.0,50200.0,69900.0,68800.0,6600.0,36000.0,0.0,2800.0,0.0,0.0,0.0
2023-09-05,196,1488300,0.0,0,0,0,0.0,0.0,0.0,45000.0,166655.0,187100.0,117780.0,81100.0,448440.0,200370.0,51700.0,134455.0,7900.0,7300.0,5600.0,2800.0,32100.0,0.0,0.0,0.0
2023-09-06,189,1240770,0.0,0,0,0,0.0,0.0,2800.0,59100.0,98600.0,155900.0,29000.0,137500.0,440200.0,74700.0,78845.0,88120.0,10100.0,0.0,6700.0,30505.0,28700.0,0.0,0.0,0.0
2023-09-07,197,1460189,0.0,0,0,0,0.0,0.0,1800.0,46500.0,183730.0,218860.0,66100.0,60800.0,479499.0,148300.0,55500.0,123700.0,7300.0,38200.0,14700.0,15200.0,0.0,0.0,0.0,0.0
2023-09-08,157,1105245,0.0,0,0,0,0.0,0.0,2800.0,14200.0,106100.0,134250.0,117420.0,100500.0,442275.0,72200.0,95900.0,0.0,14000.0,0.0,2800.0,2800.0,0.0,0.0,0.0,0.0
2023-09-09,28,139400,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,8400.0,10700.0,41900.0,20900.0,25200.0,10600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10,28,135800,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,48900.0,14000.0,14500.0,22300.0,27700.0,5600.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-11,212,1398480,0.0,0,0,0,0.0,0.0,0.0,49100.0,135610.0,142285.0,112200.0,82225.0,475160.0,171100.0,119100.0,46400.0,30600.0,9000.0,7900.0,11200.0,6600.0,0.0,0.0,0.0
2023-09-12,191,1374420,0.0,0,0,0,0.0,0.0,0.0,51100.0,154700.0,213200.0,87075.0,78900.0,482360.0,141200.0,52785.0,52200.0,18300.0,8400.0,10700.0,23500.0,0.0,0.0,0.0,0.0
2023-09-13,180,1257620,0.0,0,0,0,0.0,0.0,0.0,40100.0,59625.0,204070.0,74200.0,174200.0,344295.0,169330.0,58600.0,47200.0,35900.0,7900.0,23900.0,8900.0,9400.0,0.0,0.0,0.0
2023-09-14,191,1370055,0.0,0,0,0,0.0,0.0,0.0,47000.0,180400.0,192900.0,45000.0,68550.0,475505.0,136700.0,78800.0,60300.0,32400.0,0.0,27500.0,25000.0,0.0,0.0,0.0,0.0
2023-09-15,146,991130,0.0,0,0,0,0.0,0.0,0.0,20300.0,85900.0,166200.0,65080.0,110300.0,309000.0,72700.0,57700.0,48050.0,16700.0,18400.0,7600.0,7600.0,5600.0,0.0,0.0,0.0
2023-09-16,32,178100,0.0,0,0,0,0.0,0.0,0.0,0.0,5100.0,28500.0,53800.0,18000.0,10700.0,47500.0,5600.0,5600.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-17,19,74700,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6700.0,2800.0,17000.0,27500.0,2800.0,9500.0,2800.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-18,214,1513450,0.0,0,0,0,0.0,0.0,0.0,43600.0,191570.0,176200.0,82480.0,136400.0,402400.0,123600.0,119600.0,94800.0,90200.0,17700.0,16300.0,10200.0,8400.0,0.0,0.0,0.0
2023-09-19,212,1502900,0.0,0,0,0,0.0,0.0,0.0,63600.0,133100.0,210290.0,120300.0,90100.0,424420.0,165625.0,115000.0,103565.0,27600.0,26500.0,7600.0,15200.0,0.0,0.0,0.0,0.0
2023-09-20,137,929040,0.0,0,0,0,0.0,0.0,0.0,32100.0,93100.0,80300.0,60840.0,98300.0,246000.0,138000.0,68400.0,45900.0,38200.0,7600.0,17500.0,2800.0,0.0,0.0,0.0,0.0
2023-09-21,184,1587230,0.0,0,0,0,0.0,0.0,0.0,29460.0,71690.0,208300.0,90500.0,149700.0,381900.0,124680.0,51300.0,49300.0,38600.0,8600.0,5600.0,37600.0,340000.0,0.0,0.0,0.0
2023-09-22,161,1264620,0.0,0,0,0,0.0,0.0,0.0,46300.0,94100.0,206100.0,86600.0,61400.0,361720.0,146700.0,104800.0,65600.0,16300.0,59900.0,3900.0,0.0,11200.0,0.0,0.0,0.0
2023-09-23,26,173020,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6600.0,2800.0,33600.0,32300.0,47920.0,28600.0,5600.0,15600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-24,19,108680,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,11200.0,2800.0,21800.0,24380.0,27300.0,9000.0,3800.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-25,189,1315285,0.0,0,0,0,0.0,0.0,3800.0,52700.0,120000.0,175100.0,113100.0,52300.0,365620.0,228100.0,100800.0,48400.0,44665.0,0.0,0.0,10700.0,0.0,0.0,0.0,0.0
