2023-10 매출 (키오스크),,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-10-01,18,"80,200",0,0,0,0,0,0,0,0,0,"10,100","3,800","7,900","26,400","22,400","5,100","4,500",0,0,0,0,0,0,0,0
2023-10-02,25,"127,700",0,0,0,0,0,0,0,0,0,"27,500","6,600","11,200","14,000","29,000","30,900","8,500",0,0,0,0,0,0,0,0
2023-10-03,19,"101,800",0,0,0,0,0,0,0,0,0,"5,600","15,000","11,200","36,600","15,500",0,"17,900",0,0,0,0,0,0,0,0
2023-10-04,170,"1,195,815",0,0,0,0,0,0,0,"53,015","117,500","134,600","86,200","90,460","452,200","99,840","67,800","70,800","23,400",0,0,0,0,0,0,0
2023-10-05,182,"1,283,670",0,0,0,0,0,0,"5,600","19,800","110,900","192,200","60,000","98,000","439,060","142,060","72,220","85,130","31,200","2,800","14,000","10,700",0,0,0,0
2023-10-06,175,"1,326,215",0,0,0,0,0,0,"18,300","23,900","111,580","130,360","95,600","96,200","432,000","182,575","49,700","91,900","38,400",0,0,"24,200","31,500",0,0,0
2023-10-07,28,"149,400",0,0,0,0,0,0,0,0,0,"8,400","19,300",0,"31,600","45,000","25,400","16,900","2,800",0,0,0,0,0,0,0
2023-10-08,31,"131,600",0,0,0,0,0,0,0,0,0,"13,700","21,100","21,800","13,500","8,900","47,500","5,100",0,0,0,0,0,0,0,0
2023-10-09,16,"86,600",0,0,0,0,0,0,0,0,0,0,"8,400","3,300","26,600","2,800","26,700","18,800",0,0,0,0,0,0,0,0
2023-10-10,171,"1,309,635",0,0,0,0,0,0,"5,600","23,400","127,100","154,800","128,000","97,900","424,835","171,700","70,900","29,100","19,300","15,700","15,000","26,300",0,0,0,0
2023-10-11,208,"1,439,035",0,0,0,0,0,0,"5,600","21,600","101,015","216,125","107,990","100,000","474,900","129,040","81,000","97,665","41,400","7,900","4,500","14,100","36,200",0,0,0
2023-10-12,220,"1,444,240",0,0,0,0,0,0,0,"31,570","139,800","188,400","41,300","83,700","404,400","206,870","87,100","115,600","51,000","8,400",0,"74,900","11,200",0,0,0
2023-10-13,155,"1,213,770",0,0,0,0,0,0,0,"21,600","85,000","144,900","102,100","46,500","482,070","182,500","70,900","30,300","31,600",0,"13,500","2,800",0,0,0,0
2023-10-14,28,"145,800",0,0,0,0,0,0,0,0,0,0,"15,500","2,800","39,200","23,400","40,300","18,500","6,100",0,0,0,0,0,0,0
2023-10-15,25,"152,030",0,0,0,0,0,0,0,0,0,"39,200","10,600","24,200",930,"67,700","9,400",0,0,0,0,0,0,0,0,0
2023-10-16,176,"1,304,123",0,0,0,0,0,0,0,"30,000","102,200","205,265","99,300","92,000","452,195","140,963","54,800","82,900","36,900","7,600",0,0,0,0,0,0
2023-10-17,187,"1,294,750",0,0,0,0,0,0,0,"17,800","137,300","198,100","101,650","108,500","396,000","144,900","62,000","78,300","39,000","11,200",0,0,0,0,0,0
2023-10-18,169,"1,244,034",0,0,0,0,0,0,0,"10,700","109,500","204,300","79,560","86,680","504,130","69,365","96,499","58,200","25,100",0,0,0,0,0,0,0
2023-10-19,155,"1,134,641",0,0,0,0,0,0,0,"25,200","60,000","119,866","77,100","78,375","463,600","119,500","92,700","83,800","14,500",0,0,0,0,0,0,0
2023-10-20,148,"1,068,620",0,0,0,0,0,0,0,"43,600","127,700","96,340","88,100","101,900","372,480","73,500","62,900","86,500","15,600",0,0,0,0,0,0,0
2023-10-21,18,"133,000",0,0,0,0,0,0,0,0,0,"35,600","25,900","5,600",0,"9,400","18,600","29,400","8,500",0,0,0,0,0,0,0
2023-10-22,15,"106,010",0,0,0,0,0,0,0,0,0,"49,810","30,500","10,700","12,200",0,0,"2,800",0,0,0,0,0,0,0,0
2023-10-23,184,"1,236,114",0,0,0,0,0,0,0,"46,600","102,530","179,460","89,100","58,700","457,900","152,734","32,400","83,690","25,100","7,900",0,0,0,0,0,0
2023-10-24,171,"1,178,673",0,0,0,0,0,0,"10,700","50,850","94,178","162,335","98,100","47,935","499,255","89,175","39,400","81,145","5,600",0,0,0,0,0,0,0
2023-10-25,179,"1,145,445",0,0,0,0,0,0,"2,800","14,000","83,815","165,100","86,765","73,100","414,200","172,605","40,920","39,300","22,440","30,400",0,0,0,0,0,0
2023-10-26,195,"1,254,875",0,0,0,0,0,0,0,"43,700","97,900","206,800","124,600","44,220","440,235","127,380","35,300","89,400","45,340",0,0,0,0,0,0,0
2023-10-27,161,"1,199,359",0,0,0,0,0,0,0,"26,700","61,000","159,900","66,300","130,500","452,300","188,699","47,300","48,860","17,800",0,0,0,0,0,0,0
2023-10-28,24,"127,150",0,0,0,0,0,0,0,0,0,"5,600",0,"19,600","22,600","42,300","1,250","35,800",0,0,0,0,0,0,0,0
2023-10-29,32,"185,600",0,0,0,0,0,0,0,0,0,"23,400","27,700","31,500","30,800","26,000","34,000","12,200",0,0,0,0,0,0,0,0
2023-10-30,207,"1,300,985",0,0,0,0,0,0,0,"35,400","116,400","241,000","103,405","174,300","331,500","120,620","57,660","57,900","48,700","14,100",0,0,0,0,0,0
2023-10-31,192,"1,213,624",0,0,0,0,0,0,0,"40,200","133,870","179,500","88,400","99,725","354,615","93,034","51,870","87,500","71,600","13,310",0,0,0,0,0,0
Total,"3,684","25,314,513",0,0,0,0,0,0,"48,600","579,635","2,019,288","3,498,261","1,907,970","1,858,495","8,502,305","2,899,460","1,412,519","1,568,390","621,380","119,310","47,000","153,000","78,900",0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
매출합계내역,,,,결제수단별,,,,,,,,,,,,,,,,,,,,,,
총합계,"3,684","25,827,900",,카드,"2,519","17,602,682",,,,,,,,,,,,,,,,,,,,
포인트사용,207,"513,387",,삼성페이,"1,074","7,514,413",,,,,,,,,,,,,,,,,,,,
할인, , ,,간편결제, , ,,,,,,,,,,,,,,,,,,,,
총매출, ,"25,314,513",,현금,43,"197,418",,,,,,,,,,,,,,,,,,,,
,,,,무료,48, ,,,,,,,,,,,,,,,,,,,,
