ds,y,count
2023-05-01,0,0
2023-05-02,0,0
2023-05-03,0,0
2023-05-04,0,0
2023-05-05,0,0
2023-05-06,0,0
2023-05-07,0,0
2023-05-08,0,0
2023-05-09,0,0
2023-05-10,0,0
2023-05-11,0,0
2023-05-12,0,0
2023-05-13,265200,34
2023-05-14,156900,22
2023-05-15,2123400,248
2023-05-16,1962600,226
2023-05-17,2394800,262
2023-05-18,1758995,208
2023-05-19,1707500,209
2023-05-20,158900,29
2023-05-21,147300,24
2023-05-22,1666060,212
2023-05-23,1872190,210
2023-05-24,1657200,211
2023-05-25,1667900,212
2023-05-26,1428395,187
2023-05-27,124100,17
2023-05-28,133800,19
2023-05-29,135800,24
2023-05-30,1489200,199
2023-05-31,1622300,208
2023-06-01,1355670,172
2023-06-02,1296140,180
2023-06-03,94100,15
2023-06-04,80100,19
2023-06-05,825570,116
2023-06-06,111900,20
2023-06-07,1273810,179
2023-06-08,1583110,202
2023-06-09,1202750,165
2023-06-10,62000,12
2023-06-11,120800,20
2023-06-12,1413610,189
2023-06-13,1469500,204
2023-06-14,1290630,197
2023-06-15,1500430,200
2023-06-16,1246300,143
2023-06-17,151680,25
2023-06-18,134700,25
2023-06-19,1479325,170
2023-06-20,1314005,174
2023-06-21,1062075,140
2023-06-22,1436800,205
2023-06-23,1405460,179
2023-06-24,183200,23
2023-06-25,125500,22
2023-06-26,1327810,172
2023-06-27,1381260,184
2023-06-28,1242950,185
2023-06-29,1052585,133
2023-06-30,1211730,166
2023-07-01,135800,26
2023-07-02,138700,18
2023-07-03,1433300,198
2023-07-04,1145425,166
2023-07-05,1423130,194
2023-07-06,1455395,204
2023-07-07,1227525,169
2023-07-08,108900,20
2023-07-09,152010,24
2023-07-10,1315065,179
2023-07-11,1149105,140
2023-07-12,1371445,189
2023-07-13,966840,142
2023-07-14,968640,131
2023-07-15,111300,19
2023-07-16,104400,18
2023-07-17,1384835,178
2023-07-18,1085590,145
2023-07-19,1392810,179
2023-07-20,1510970,194
2023-07-21,1123600,176
2023-07-22,111000,22
2023-07-23,102300,18
2023-07-24,1333095,186
2023-07-25,1217190,167
2023-07-26,1317990,179
2023-07-27,1079820,164
2023-07-28,1117050,165
2023-07-29,96200,17
2023-07-30,144300,27
2023-07-31,1249380,177
2023-08-01,1341915,171
2023-08-02,1293875,177
2023-08-03,1286590,179
2023-08-04,1255040,152
2023-08-05,195400,37
2023-08-06,144875,29
2023-08-07,1225805,175
2023-08-08,1488960,205
2023-08-09,1481585,196
2023-08-10,674665,99
2023-08-11,888090,131
2023-08-12,152000,25
2023-08-13,212300,37
2023-08-14,796100,122
2023-08-15,81300,16
2023-08-16,1283615,182
2023-08-17,1302129,179
2023-08-18,994335,147
2023-08-19,121510,21
2023-08-20,96400,16
2023-08-21,1384630,203
2023-08-22,1243840,175
2023-08-23,983837,147
2023-08-24,1296270,182
2023-08-25,1206555,154
2023-08-26,0,0
2023-08-27,0,0
2023-08-28,1270600,167
2023-08-29,1168380,177
2023-08-30,1290960,178
2023-08-31,1553815,208
2023-09-01,1105770,154
2023-09-02,122340,28
2023-09-03,125030,24
2023-09-04,1388170,198
2023-09-05,1488300,196
2023-09-06,1240770,189
2023-09-07,1460189,197
2023-09-08,1105245,157
2023-09-09,139400,28
2023-09-10,135800,28
2023-09-11,1398480,212
2023-09-12,1374420,191
2023-09-13,1257620,180
2023-09-14,1370055,191
2023-09-15,991130,146
2023-09-16,178100,32
2023-09-17,74700,19
2023-09-18,1513450,214
2023-09-19,1502900,212
2023-09-20,929040,137
2023-09-21,1587230,184
2023-09-22,1264620,161
2023-09-23,173020,26
2023-09-24,108680,19
2023-09-25,1315285,189
2023-09-26,1053350,142
2023-09-27,0,0
2023-09-28,0,0
2023-09-29,0,0
2023-09-30,0,0
2023-10-01,"80,200",18
2023-10-02,"127,700",25
2023-10-03,"101,800",19
2023-10-04,"1,195,815",170
2023-10-05,"1,283,670",182
2023-10-06,"1,326,215",175
2023-10-07,"149,400",28
2023-10-08,"131,600",31
2023-10-09,"86,600",16
2023-10-10,"1,309,635",171
2023-10-11,"1,439,035",208
2023-10-12,"1,444,240",220
2023-10-13,"1,213,770",155
2023-10-14,"145,800",28
2023-10-15,"152,030",25
